,iModulon,Gene
0,0,PA0509
1,0,PA0510
2,0,PA3870
3,0,PA3871
4,0,PA3872
5,0,PA3873
6,0,PA3874
7,0,PA3875
8,0,PA3876
9,1,PA1999
10,1,PA2000
11,1,PA2001
12,1,PA2002
13,1,PA2003
14,1,PA2004
15,2,PA0456
16,2,PA0588
17,2,PA0905
18,2,PA0973
19,2,PA1041
20,2,PA1168
21,2,PA1337
22,2,PA1414
23,2,PA1453
24,2,PA1588
25,2,PA1776
26,2,PA1777
27,2,PA2507
28,2,PA2509
29,2,PA2743
30,2,PA2853
31,2,PA2883
32,2,PA2966
33,2,PA3040
34,2,PA3049
35,2,PA3572
36,2,PA3691
37,2,PA3692
38,2,PA3785
39,2,PA3786
40,2,PA4141
41,2,PA4242
42,2,PA4268
43,2,PA4351
44,2,PA4352
45,2,PA4407
46,2,PA4463
47,2,PA4525
48,2,PA4607
49,2,PA4739
50,2,PA4874
51,2,PA5253
52,3,PA1984
53,3,PA4022
54,3,PA4023
55,3,PA4024
56,3,PA4025
57,4,PA0364
58,4,PA0365
59,4,PA0366
60,4,PA0367
61,4,PA0534
62,4,PA1535
63,4,PA2886
64,4,PA2887
65,4,PA2888
66,4,PA2889
67,4,PA2890
68,4,PA2891
69,4,PA2892
70,4,PA4364
71,4,PA4365
72,4,PA4435
73,4,PA4596
74,4,PA4770
75,4,PA4771
76,4,PA4772
77,4,PA4888
78,5,PA1183
79,5,PA2291
80,5,PA2321
81,5,PA2322
82,5,PA3181
83,5,PA3182
84,5,PA3183
85,5,PA3186
86,5,PA3187
87,5,PA3188
88,5,PA3189
89,5,PA3190
90,5,PA3191
91,5,PA3192
92,5,PA3193
93,5,PA3194
94,5,PA3195
95,6,PA0328
96,6,PA0888
97,6,PA0889
98,6,PA0890
99,6,PA0891
100,6,PA0892
101,6,PA0893
102,6,PA0895
103,6,PA0896
104,6,PA0897
105,6,PA0898
106,6,PA0899
107,6,PA0901
108,6,PA1072
109,6,PA1073
110,6,PA1074
111,6,PA1818
112,6,PA1819
113,6,PA1855
114,6,PA2111
115,6,PA3068
116,6,PA3525
117,6,PA3537
118,6,PA3934
119,6,PA4364
120,6,PA4496
121,6,PA4588
122,6,PA5036
123,6,PA5152
124,6,PA5153
125,6,PA5154
126,6,PA5155
127,6,PA5170
128,6,PA5171
129,6,PA5172
130,6,PA5173
131,7,PA2507
132,7,PA2508
133,7,PA2509
134,7,PA2511
135,7,PA2512
136,7,PA2513
137,7,PA2514
138,7,PA2682
139,8,PA5383
140,8,PA5388
141,8,PA5506
142,8,PA5507
143,8,PA5508
144,8,PA5509
145,8,PA5510
146,9,PA1178
147,9,PA1179
148,9,PA1180
149,9,PA1343
150,9,PA3552
151,9,PA3553
152,9,PA3554
153,9,PA3555
154,9,PA3556
155,9,PA3557
156,9,PA3558
157,9,PA3559
158,9,PA4357
159,9,PA4359
160,9,PA4773
161,9,PA4774
162,9,PA4775
163,9,PA4776
164,9,PA4777
165,9,PA4782
166,10,PA0781
167,10,PA1514
168,10,PA1515
169,10,PA1516
170,10,PA1517
171,10,PA1919
172,10,PA1920
173,10,PA1921
174,10,PA1922
175,10,PA1923
