,yeiT
Cr_1,0.0018301743882553922
Cr_2,0.008629615088564763
Cr_3,0.024163250521247653
Cr_4,0.034522857317361266
Cr_5,0.0276680849278313
Cr_6,0.019626647263758727
Fe_1,-0.019059143030393685
Fe_2,-0.047733535124405486
Fe_3,-0.06424196945815898
Fe_4,-0.08707147262953907
Fe_5,-0.08396966239317406
Fe_6,-0.08337870070518248
Cd_1,-0.0022702184005637177
Cd_2,-0.00411183012113754
Cd_3,-0.0010325561641807489
Cd_4,-0.005877274462169792
Cd_5,-0.00011657869260340762
Cd_6,0.00867856294881592
Zn_1,0.018148881078421303
Zn_2,-0.016085256779483074
Zn_3,-0.00946919393705685
Zn_4,0.04409689399204498
Zn_5,0.08456944808754316
Zn_6,0.1493329103627517
Cu_1,0.0002225210731422936
Cu_2,-0.0012943769745533394
Cu_3,0.00021924583033411417
Cu_4,0.007117431865978606
Cu_5,0.011949206034789855
Cu_6,0.016403613921378346
Pb_1,0.006167589554220281
Pb_2,0.017678842631566445
Pb_3,0.024969702450634804
Pb_4,0.032330763654492965
Pb_5,0.038118608254743225
Pb_6,0.04647560171196225
