,ygiU
Cr_1,0.001946967308383693
Cr_2,0.00876306646228917
Cr_3,0.016536913847908667
Cr_4,0.012356608737504916
Cr_5,0.013478697901113936
Cr_6,8.286929113673864e-05
Fe_1,-0.01385249355913035
Fe_2,-0.028021298344302288
Fe_3,-0.036864785454437214
Fe_4,-0.05199835127467658
Fe_5,-0.07135416792318003
Fe_6,-0.0931089328304459
Cd_1,0.019782567612282028
Cd_2,0.040159266710614566
Cd_3,0.06602140238190021
Cd_4,0.08687883297180414
Cd_5,0.0948248676914282
Cd_6,0.11308895197369125
Zn_1,-0.01589218123566779
Zn_2,-0.01967190282987857
Zn_3,-0.033953751886419484
Zn_4,-0.049693150942073376
Zn_5,-0.06542535783867055
Zn_6,-0.1150574206784323
Cu_1,0.014135512231967524
Cu_2,0.02703176651073741
Cu_3,0.037393263131945804
Cu_4,0.04016072072417259
Cu_5,0.04716005023181996
Cu_6,0.044193128008671034
Pb_1,0.02031797068035564
Pb_2,0.04417378595415095
Pb_3,0.06813739655657887
Pb_4,0.08394787550633043
Pb_5,0.09475714646045776
Pb_6,0.1032277819270611
