,rrlB
Cr_1,0.0014976181659570242
Cr_2,0.002672557079324022
Cr_3,0.0041559584397755115
Cr_4,0.006420155530515085
Cr_5,0.007481985516532914
Cr_6,0.00455922417609481
Fe_1,-0.02734271180502868
Fe_2,-0.05404337750446405
Fe_3,-0.08382698668354838
Fe_4,-0.11677752921581275
Fe_5,-0.14264494695432306
Fe_6,-0.16220194417914405
Cd_1,-0.0029155314080040076
Cd_2,-0.0014096059629502007
Cd_3,0.0004585680267662001
Cd_4,0.002331953505783877
Cd_5,-8.168494438000192e-05
Cd_6,-0.0015625896332379693
Zn_1,-0.015556845294359922
Zn_2,-0.03196429125351992
Zn_3,-0.04724648388594748
Zn_4,-0.03715516621003801
Zn_5,-0.005476682496903806
Zn_6,0.019994694440585683
Cu_1,0.0007969030791094255
Cu_2,0.003671471961721635
Cu_3,0.01673849327864511
Cu_4,0.02636930637722823
Cu_5,0.031194730805673164
Cu_6,0.035912265542839064
Pb_1,0.008184598810196194
Pb_2,0.005252719563953803
Pb_3,0.006046849735250159
Pb_4,0.01673926280469237
Pb_5,0.03269531051489991
Pb_6,0.046289559075632265
