,glxK
Cr_1,0.005891978054150737
Cr_2,0.009663496771262204
Cr_3,0.013554006918826023
Cr_4,0.01380657273827088
Cr_5,0.013371539920841762
Cr_6,0.007156922214097977
Fe_1,-0.02087966359757621
Fe_2,-0.05526408186304276
Fe_3,-0.09547925337932016
Fe_4,-0.13642508278802234
Fe_5,-0.18693028622285265
Fe_6,-0.2321671189255038
Cd_1,0.003412824011136254
Cd_2,0.013242192482529813
Cd_3,0.016796235983187486
Cd_4,0.021816501658322357
Cd_5,0.021971686319801884
Cd_6,0.026936354454152038
Zn_1,0.03986102327291983
Zn_2,-0.0010372158885222718
Zn_3,0.001960580189000407
Zn_4,-0.03062212828849508
Zn_5,-0.03125678580452027
Zn_6,-0.07556191873472635
Cu_1,-0.006900857160929375
Cu_2,-0.0014357469575246415
Cu_3,0.011610018913770106
Cu_4,0.012136099882264577
Cu_5,0.019603004355307072
Cu_6,0.02336411768042098
Pb_1,0.010700085509719218
Pb_2,0.016918627631921045
Pb_3,0.028296273184127595
Pb_4,0.03473666256375135
Pb_5,0.05669131396554367
Pb_6,0.05405772556317104
