,yncI
Cr_1,0.000385796917396396
Cr_2,0.002400991200633137
Cr_3,0.0035761339961544385
Cr_4,0.004737066097975827
Cr_5,0.0017858070029280523
Cr_6,-0.0044537350472048974
Fe_1,-0.009279317394446526
Fe_2,-0.01912643859767563
Fe_3,-0.032372429869660165
Fe_4,-0.0501305022618032
Fe_5,-0.05687328112569255
Fe_6,-0.05559023360125739
Cd_1,0.004749435521691867
Cd_2,0.010986526351486356
Cd_3,0.01630784166051886
Cd_4,0.01845868979447613
Cd_5,0.01422224235639936
Cd_6,0.01851112870644894
Zn_1,-0.003231967806967264
Zn_2,-0.005527691459236289
Zn_3,0.0067965589160182025
Zn_4,0.016838529857685212
Zn_5,0.0289756260668336
Zn_6,0.02872176727305107
Cu_1,0.009300164892722958
Cu_2,0.01942346894709507
Cu_3,0.029550687891988014
Cu_4,0.03755851876507498
Cu_5,0.04567523382994987
Cu_6,0.05419023784670103
Pb_1,0.014519171968825713
Pb_2,0.02621309031391344
Pb_3,0.035617964189694366
Pb_4,0.053414257138768594
Pb_5,0.06909060148285989
Pb_6,0.08489499443630442
