,A,FecI
R2,,0.06830173940628737
xmin,,2.8414553863
xmid,,
xmax,,9.9611042537
ystart,,-0.25231470569919323
yend,,2.679362734349565
control__wt_glc__1,0.6882704413,7.3164910317
control__wt_glc__2,-0.6882704413,7.3660304106
fur__wt_dpd__1,5.6347163556,9.9611042537
fur__wt_dpd__2,6.1086033283,9.9466917058
fur__wt_fe__1,0.21945392100000002,6.4569856835
fur__wt_fe__2,0.0030595653000000003,6.2552311657
fur__delfur_dpd__1,5.1585113959,9.9471347362
fur__delfur_dpd__2,4.3709869367,9.4995797923
fur__delfur_fe2__1,3.1037330129,9.7736347814
fur__delfur_fe2__2,3.5834333995,9.8407692346
acid__wt_ph5__1,1.2911422939000001,7.1456876428000005
acid__wt_ph5__2,0.5920326452,6.9372900166
acid__delgadx_ph5__1,0.27227721590000004,6.6932457225
acid__delgadx_ph5__2,1.0714389575,6.3631397896
acid__delgadw_ph5__1,0.4723425364,5.1796262001
acid__delgadw_ph5__2,0.16271410390000002,5.3583127727
acid__delgade_ph5__1,1.2179251415,6.9679707636
acid__delgade_ph5__2,0.4947838349,6.8757301397
oxidative__wt_pq__1,1.8270343539,9.1939701655
oxidative__wt_pq__2,1.8280335354,9.3678583417
oxidative__deloxyr_pq__1,1.5892491915,8.9567806298
oxidative__deloxyr_pq__2,1.5677702484,8.8040555328
oxidative__delsoxr_pq__1,2.2362601646,9.627643881200001
oxidative__delsoxr_pq__2,3.2223736716,9.5847537025
oxidative__delsoxs_pq__1,3.0872750252,9.558979109300001
oxidative__delsoxs_pq__2,2.9318383873,9.4136819868
nac_ntrc__wt_csn__1,0.42408889710000003,7.1489400514
nac_ntrc__wt_csn__2,0.3357663366,7.636122825
nac_ntrc__wt_cytd__1,1.377051352,7.5709737671
nac_ntrc__wt_cytd__2,1.6025155065,7.5923906789
nac_ntrc__wt_gln__1,-1.2196150848,6.3822149033
nac_ntrc__wt_gln__2,-1.0577229639,6.2618951727
nac_ntrc__bw_delnac_csn__1,2.942397493,7.5594117865
nac_ntrc__bw_delnac_csn__2,4.3080885776,8.0692210113
nac_ntrc__bw_delnac_cytd__1,-0.12685638800000001,6.8699904909
nac_ntrc__bw_delnac_cytd__2,-0.25556672610000003,6.7560892831
nac_ntrc__bw_delnac_gln__1,0.5273625033,7.4223472718
nac_ntrc__bw_delnac_gln__2,0.729269524,7.6123534918
nac_ntrc__bw_delnac_nh4__1,-1.6301786984,6.9813047468
nac_ntrc__bw_delnac_nh4__2,-0.6997705968,6.8776203338
misc__wt_no_te__1,3.4143104784,9.6797158656
misc__wt_no_te__2,3.2011766459,9.7977535877
misc__bw_delcbl__1,1.7505633692,7.6014786593
misc__bw_delcbl__2,1.6229648004000001,7.7262006137
misc__bw_delfabr__1,0.6555297472,6.6099313591
misc__bw_delfabr__2,0.9840262887000001,6.668166019
