,PSPTO_RS29830
SRX1828913,0.175600257
SRX1828914,1.8889791936
SRX1828915,-0.0390486615
SRX1828916,2.0945235463
SRX1828917,-0.1365515955
SRX1828918,2.0541934454
SRX3983989,-0.2283941683
SRX3983990,-0.4444474131
SRX3983993,-0.9363011395
SRX3983994,-1.1461860222
SRX3983995,-0.3369630115
SRX3983996,-0.6531843604
SRX3983997,-1.1737411541
SRX3983998,-0.3809558578
SRX3983999,-0.39350720240000003
SRX3984000,0.093403699
SRX3984001,-1.4564072395
SRX3984002,-1.0632140274
SRX3984003,-1.1922263113
SRX3984004,-0.0197232416
SRX3984005,0.1421098834
SRX3984006,-0.7956433104
SRX3984007,-0.4877261036
SRX3984008,-0.3896985659
SRX3984009,-0.2551359196
SRX3984010,-1.4714207526
SRX3984011,-0.038493562700000004
SRX3984012,-0.4725235618
SRX3984013,0.11234719650000001
SRX3984014,-0.24047213450000002
SRX3984015,-0.3571674461
SRX3984016,-0.3550949021
SRX3984017,-0.9254263148
SRX3984019,-0.5124296218000001
SRX3984020,-1.3305985688
SRX3984021,-1.0855151419
SRX3984022,-1.356498718
SRX3984023,-0.1658768096
SRX3984024,0.1093413762
SRX3984025,-0.4559528793
SRX3984026,0.6385885821
SRX3984027,-0.18848443310000002
SRX3984028,-0.031237639900000003
SRX3984029,-0.0537760242
SRX3984031,-1.0105701118
SRX3984032,-1.4546507094
SRX3984034,0.13197524130000002
SRX3984035,-1.1608298559
SRX3984036,-0.976815482
SRX3984037,-1.9964260919
SRX3984038,-1.2528776476
SRX3984039,-1.114139736
SRX3984040,-0.2279444209
SRX3984041,-1.7798203629
SRX3984042,-0.431428978
SRX3984043,-1.0115592553
SRX3984045,0.4072611628
SRX3984046,0.0918619445
SRX3984047,-1.1883677274
SRX3984048,-0.9831597465
SRX3984049,-0.9713320147000001
SRX3984050,-0.2751840181
SRX3984051,-1.6061479790000002
SRX3984052,-0.5181821807
SRX3984056,-1.4331452574
SRX3984057,-1.4781706417
SRX3984058,-1.742495623
SRX3984059,-0.17081966040000002
SRX3984061,-0.8553466725000001
SRX3984062,-0.2186943032
SRX3984063,-0.5014798724
SRX3984064,-0.5058094635
SRX3984065,-0.0370316016
SRX3984066,-0.5422022097
SRX3984067,-0.0609773662
SRX3984068,-0.4375259475
SRX3984069,-0.213020184
SRX3984070,-0.8591527365
SRX3984071,-0.8434842762
SRX3984073,-0.24873535370000002
SRX3984074,-0.0699705633
SRX3984077,-0.6999407099
SRX3984078,-0.4343252199
SRX3984079,-0.6028452746
SRX3984080,-0.057960376200000004
SRX3984082,-0.37628343740000003
SRX3984084,-1.2696820868
SRX6997963,0.45358297550000004
SRX6997964,0.6798750303000001
SRX6997965,0.9235652545
SRX6997967,-0.2310173294
SRX6997968,0.4769287156
SRX6997969,0.9513540464
SRX6997971,-0.22256564610000001
SRX6997972,0.2712669958
SRX6997973,1.0089984992
SRX3159100,-0.0160220675
SRX3159101,0.1109351565
SRX3159102,-0.019063597
SRX3159103,-0.075849492
SRX3159000,0.36469434510000004
SRX3159001,1.0269557324
SRX3159002,0.3373448658
SRX3159003,-0.272628515
SRX3159004,-0.6400168462
SRX3159005,0.0375718666
SRX3159006,-1.5474417422
SRX3159007,0.4811326065
SRX3159008,0.1423244115
SRX3159009,0.8870216287
SRX3159010,0.8672741746
SRX3159012,0.7388165949000001
SRX3159013,1.3631528722000001
SRX3159014,-0.4328790789
SRX3159015,1.4416177444
SRX3159016,0.7926686532
SRX3159017,1.4715808597
SRX3159018,-0.46728467630000003
SRX3159019,-0.9720855395
SRX3159020,-0.045309529700000004
SRX3159021,-0.4092966114
SRX3159022,0.11938951710000001
SRX3159023,0.7687221197
SRX3159024,0.4073413804
SRX3159025,1.1298804225
SRX3159026,0.6122380187
SRX3159027,1.4125092533
