,gcl
Cr_1,0.01863752987754044
Cr_2,0.026395565305423325
Cr_3,0.04322554691430176
Cr_4,0.05043915682858835
Cr_5,0.050212806236371
Cr_6,0.041047890833919326
Fe_1,-0.15806561685316206
Fe_2,-0.08639446788852018
Fe_3,-0.17518510928133393
Fe_4,-0.10675302190632137
Fe_5,-0.12888589575927986
Fe_6,-0.12649579781806494
Cd_1,0.014723303572053675
Cd_2,0.03284521985745965
Cd_3,0.05146085888921127
Cd_4,0.05721105252198761
Cd_5,0.054563913709251635
Cd_6,0.06525852608352231
Zn_1,0.01555080321105936
Zn_2,-0.005078252490556007
Zn_3,-0.020716646805429038
Zn_4,-0.01899403878898146
Zn_5,-0.00959401560198647
Zn_6,0.008586301207995861
Cu_1,0.0009087438611833275
Cu_2,0.006723506591661968
Cu_3,0.02337697080094778
Cu_4,0.016302452447750162
Cu_5,0.028058107424514332
Cu_6,0.0289087346764919
Pb_1,0.005336185033773643
Pb_2,-0.004691304824693033
Pb_3,-0.019610406744323003
Pb_4,-0.0026629128799726173
Pb_5,0.005802778631994303
Pb_6,0.01344597204485024
