,condition,X_avg,X_std,n,rep1_idx,rep1_X,rep2_idx,rep2_X,rep3_idx,rep3_X,rep4_idx,rep4_X,rep5_idx,rep5_X,rep6_idx,rep6_X,rep7_idx,rep7_X,rep8_idx,rep8_X
0,LB__LBexp,13.950866666666668,0.09959645241339282,3.0,0.0,13.8404,1.0,13.9784,2.0,14.0338,,,,,,,,,,
1,LB__LBtran,12.969433333333333,0.24854346367050834,3.0,3.0,12.6899,4.0,13.0529,5.0,13.1655,,,,,,,,,,
2,LB__LBstat,11.096933333333334,0.11156954482892456,3.0,6.0,10.9977,7.0,11.2177,8.0,11.0754,,,,,,,,,,
3,LB__LBGexp,14.039200000000001,0.08622348867912984,3.0,9.0,14.0859,10.0,13.9397,11.0,14.092,,,,,,,,,,
4,LB__LBGtran,13.3853,0.4813982966318013,2.0,12.0,13.0449,13.0,13.7257,,,,,,,,,,,,
5,LB__LBGstat,10.798733333333333,0.42497954460577625,3.0,14.0,10.890999999999998,15.0,10.3352,16.0,11.17,,,,,,,,,,
6,Life Cycle__S0,13.403133333333335,0.14543580485332128,3.0,17.0,13.2778,18.0,13.369000000000002,19.0,13.5626,,,,,,,,,,
7,Life Cycle__S1,12.195566666666666,0.1211670884907838,3.0,20.0,12.2213,21.0,12.0636,22.0,12.3018,,,,,,,,,,
8,Life Cycle__S2,11.150766666666668,0.1789502817358313,3.0,23.0,11.2612,24.0,11.2468,25.0,10.9443,,,,,,,,,,
9,Life Cycle__S3,11.495149999999999,0.07035712472806206,2.0,26.0,11.4454,27.0,11.5449,,,,,,,,,,,,
10,Life Cycle__S4,11.731166666666667,0.26591322519448596,3.0,28.0,11.6019,29.0,12.037,30.0,11.5546,,,,,,,,,,
11,Life Cycle__S5,11.655933333333335,0.13650968219629414,3.0,31.0,11.499,32.0,11.7472,33.0,11.7216,,,,,,,,,,
12,Life Cycle__S6,10.4314875,1.0787483586314282,8.0,34.0,10.9853,35.0,8.8285,36.0,10.9758,37.0,10.7652,38.0,8.6153,39.0,10.6955,40.0,11.2268,41.0,11.3595
13,Life Cycle__S7,10.9709,0.1427496760066369,3.0,42.0,11.1048,43.0,10.8207,44.0,10.9872,,,,,,,,,,
14,Life Cycle__S8,10.3532,0.18002938649009498,2.0,45.0,10.4805,46.0,10.2259,,,,,,,,,,,,
15,Life Cycle__G135,12.69605,1.3745448719485294,2.0,47.0,13.668,48.0,11.7241,,,,,,,,,,,,
16,Life Cycle__G150,13.747966666666665,0.2250175400570665,3.0,49.0,13.5133,50.0,13.7687,51.0,13.9619,,,,,,,,,,
17,Life Cycle__G180,13.4099,0.45471662604307755,3.0,52.0,13.4634,53.0,13.8355,54.0,12.9308,,,,,,,,,,
18,Stress Time Course__C30,11.943249999999999,0.10373256480006719,2.0,55.0,11.8699,56.0,12.0166,,,,,,,,,,,,
19,Stress Time Course__C90,12.916599999999999,0.18582766209582496,2.0,57.0,12.7852,58.0,13.048,,,,,,,,,,,,
20,Biofilm__BI,12.658999999999999,0.22924401846067827,2.0,59.0,12.4969,60.0,12.8211,,,,,,,,,,,,
21,Biofilm__BC,10.763875,0.20838591403131518,4.0,61.0,11.0502,62.0,10.6474,63.0,10.7797,64.0,10.5782,,,,,,,,
22,Biofilm__Sw,11.7426,0.489176471224854,2.0,65.0,11.3967,66.0,12.0885,,,,,,,,,,,,
23,Life Cycle__BT,12.0886,0.33219876580143953,2.0,67.0,12.3235,68.0,11.8537,,,,,,,,,,,,
24,Life Cycle__B36,10.9788,0.12190520907656056,2.0,69.0,11.065,70.0,10.8926,,,,,,,,,,,,
25,Life Cycle__B60,10.30765,0.3622508040018681,2.0,71.0,10.5638,72.0,10.0515,,,,,,,,,,,,
26,M9__M9exp,12.680233333333334,0.33261263255224244,3.0,73.0,13.0283,74.0,12.6468,75.0,12.3656,,,,,,,,,,
27,M9__M9tran,12.201299999999998,0.09777714456865655,3.0,76.0,12.1456,77.0,12.1441,78.0,12.3142,,,,,,,,,,
28,M9__M9stat,8.759733333333335,0.3801322708391554,3.0,79.0,9.1703,80.0,8.6889,81.0,8.42,,,,,,,,,,
29,Supplement__M+G,12.5025,0.13938568793100642,3.0,82.0,12.6382,83.0,12.3597,84.0,12.5096,,,,,,,,,,
30,Supplement__Glu,12.7584,0.08814442693670431,3.0,85.0,12.8564,86.0,12.7332,87.0,12.6856,,,,,,,,,,
31,Supplement__Fru,12.567300000000001,0.4106963963805861,3.0,88.0,12.8196,89.0,12.7889,90.0,12.0934,,,,,,,,,,
32,Supplement__Mal,12.437066666666666,0.13495204086390594,3.0,91.0,12.5056,92.0,12.2816,93.0,12.524,,,,,,,,,,
33,Supplement__G+S,12.189250000000001,0.22478924573920336,2.0,94.0,12.0303,95.0,12.3482,,,,,,,,,,,,
34,Supplement__Pyr,11.4367,0.3370102817422638,3.0,96.0,11.0528,97.0,11.6838,98.0,11.5735,,,,,,,,,,
35,Supplement__Gly,12.1118,0.8046047725436382,3.0,99.0,12.1086,100.0,12.918,101.0,11.3088,,,,,,,,,,
36,Supplement__Glucon,11.629400000000002,0.35656731482288184,3.0,102.0,11.5139,103.0,12.0294,104.0,11.3449,,,,,,,,,,
37,Stressors__aero,13.459366666666668,0.46512196608344897,3.0,105.0,13.6273,106.0,12.9336,107.0,13.8172,,,,,,,,,,
38,Stressors__nit,12.302466666666668,0.17070516492869706,3.0,108.0,12.304,109.0,12.4724,110.0,12.130999999999998,,,,,,,,,,
39,Stressors__ferm,12.277166666666666,0.30626165828149815,3.0,111.0,11.9612,112.0,12.5727,113.0,12.2976,,,,,,,,,,
40,Glc Growth/Exhaust__T-5.40H,12.6026,,1.0,114.0,12.6026,,,,,,,,,,,,,,
41,Glc Growth/Exhaust__T-4.40H,12.5399,,1.0,115.0,12.5399,,,,,,,,,,,,,,
42,Glc Growth/Exhaust__T-3.40H,12.453,,1.0,116.0,12.453,,,,,,,,,,,,,,
43,Glc Growth/Exhaust__T-2.40H,12.1459,,1.0,117.0,12.1459,,,,,,,,,,,,,,
44,Glc Growth/Exhaust__T-1.40H,12.0495,,1.0,118.0,12.0495,,,,,,,,,,,,,,
45,Glc Growth/Exhaust__T-1.10H,12.1696,,1.0,119.0,12.1696,,,,,,,,,,,,,,
46,Glc Growth/Exhaust__T-0.40H,11.8816,,1.0,120.0,11.8816,,,,,,,,,,,,,,
47,Glc Growth/Exhaust__T0.0H,11.8327,,1.0,121.0,11.8327,,,,,,,,,,,,,,
48,Glc Growth/Exhaust__T0.30H,10.1022,,1.0,122.0,10.1022,,,,,,,,,,,,,,
49,Glc Growth/Exhaust__T1.0H,9.9581,,1.0,123.0,9.9581,,,,,,,,,,,,,,
50,Glc Growth/Exhaust__T1.30H,9.219,,1.0,124.0,9.219,,,,,,,,,,,,,,
51,Glc Growth/Exhaust__T2.0H,9.3499,,1.0,125.0,9.3499,,,,,,,,,,,,,,
52,Glc Growth/Exhaust__T2.30H,10.1432,,1.0,126.0,10.1432,,,,,,,,,,,,,,
53,Glc Growth/Exhaust__T3.0H,9.746,,1.0,127.0,9.746,,,,,,,,,,,,,,
54,Glc Growth/Exhaust__T3.30H,9.8631,,1.0,128.0,9.8631,,,,,,,,,,,,,,
55,Glc Growth/Exhaust__T4.0H,10.0635,,1.0,129.0,10.0635,,,,,,,,,,,,,,
56,Glc Growth/Exhaust__T5.0H,9.3607,,1.0,130.0,9.3607,,,,,,,,,,,,,,
57,Stressors__HPh,13.2642,0.14925304017004176,3.0,131.0,13.2653,132.0,13.1144,133.0,13.4129,,,,,,,,,,
58,Stressors__LPh,13.587166666666668,0.2943957257388982,3.0,134.0,13.324000000000002,135.0,13.9051,136.0,13.5324,,,,,,,,,,
59,Stressors__LPhT,11.834733333333332,0.1521525988385775,3.0,137.0,11.6788,138.0,11.8426,139.0,11.9828,,,,,,,,,,
60,Stressors__SMMPr,12.289033333333334,0.2530561663610149,3.0,140.0,12.0612,141.0,12.2445,142.0,12.5614,,,,,,,,,,
61,Stressors__HiTm,12.149666666666667,0.26850598379427876,3.0,143.0,12.4541,144.0,12.0483,145.0,11.9466,,,,,,,,,,
62,Stressors__LoTm,11.594833333333334,0.1673279813221128,3.0,146.0,11.7639,147.0,11.5913,148.0,11.4293,,,,,,,,,,
63,Stressors__HiOs,12.034666666666666,0.19134953183463355,3.0,149.0,12.2215,150.0,11.8391,151.0,12.0434,,,,,,,,,,
64,Stressors__BMM,12.9893,0.10625088234927764,3.0,152.0,13.0958,153.0,12.9888,154.0,12.8833,,,,,,,,,,
65,Stressors__Heat,12.629666666666667,0.18895915784458156,3.0,155.0,12.7789,156.0,12.6929,157.0,12.4172,,,,,,,,,,
66,Stressors__Cold,12.362533333333333,0.5635095148560788,3.0,158.0,12.9924,159.0,12.189,160.0,11.9062,,,,,,,,,,
67,Stressors__Etha,11.441066666666666,0.17859970138086279,3.0,161.0,11.52,162.0,11.2366,163.0,11.5666,,,,,,,,,,
