,name,x,y,cog,color,link
meta,start,0.56885313346982,,,,
zntA,zntA,2199.0,0.0028671924956142907,Unknown,#1e90ff,
rpoS,rpoS,993.0,0.0007348505937261508,Unknown,#1e90ff,
rihC,rihC,915.0,-0.0007048399455379695,Unknown,#1e90ff,
ypfH,ypfH,699.0,-0.004409844423644243,Unknown,#1e90ff,
alsI,alsI,450.0,0.002945786323398352,Unknown,#1e90ff,
ygdQ,ygdQ,714.0,-0.00557134319562465,Unknown,#1e90ff,
yabP,yabP,579.0,-0.003588270479813218,Unknown,#1e90ff,
ypfJ,ypfJ,864.0,-0.006025047986768186,Unknown,#1e90ff,
talB,talB,954.0,-0.004047030657529831,Unknown,#1e90ff,
yqeI,yqeI,810.0,-0.0011789541959296912,Unknown,#1e90ff,
yabI,yabI,765.0,-0.0037626098282635212,Unknown,#1e90ff,
hda,hda,702.0,-0.003031431087292731,Unknown,#1e90ff,
talA,talA,951.0,0.010418281527236105,Unknown,#1e90ff,
ygeH,ygeH,1377.0,0.004608055897988379,Unknown,#1e90ff,
ilvI,ilvI,1725.0,-0.007469517812132834,Unknown,#1e90ff,
yfgB,yfgB,384.0,-0.0034604733530431988,Unknown,#1e90ff,
pfkB,pfkB,930.0,-0.008058545105159283,Unknown,#1e90ff,
ygeY,ygeY,1212.0,-0.008692662622779608,Unknown,#1e90ff,
secM,secM,513.0,-0.006458197645843029,Unknown,#1e90ff,
iscS,iscS,1215.0,-0.006653102268464863,Unknown,#1e90ff,
setB,setB,1182.0,-0.0036496820906177173,Unknown,#1e90ff,
ygiL,ygiL,552.0,-0.006078994795680046,Unknown,#1e90ff,
yacL,yacL,363.0,-0.0044729057420045135,Unknown,#1e90ff,
iscR,iscR,489.0,0.002613038925919682,Unknown,#1e90ff,
crp,crp,633.0,-0.006922774519771338,Unknown,#1e90ff,
eaeH,eaeH,872.0,-0.002734325861092657,Unknown,#1e90ff,
proB,proB,1104.0,0.004800540804862977,Unknown,#1e90ff,
yfjL,yfjL,1617.0,0.00263851375086233,Unknown,#1e90ff,
pdhR,pdhR,765.0,-0.006908305101096629,Unknown,#1e90ff,
ykgD,ykgD,284.0,-0.002494727394077927,Unknown,#1e90ff,
aroL,aroL,525.0,-0.0014027213002555073,Unknown,#1e90ff,
ydaQ,ydaQ,216.0,0.0007710418588249013,Unknown,#1e90ff,
pykF,pykF,1413.0,0.04039992235600949,Unknown,#1e90ff,
gsk,gsk,1305.0,-0.007208382040262222,Unknown,#1e90ff,
serC,serC,1089.0,-0.0019506077026017012,Unknown,#1e90ff,
yohC,yohC,588.0,-0.0019194507692009207,Unknown,#1e90ff,
sdhC,sdhC,390.0,-0.0038525497610680756,Unknown,#1e90ff,
smtA,smtA,786.0,-0.004089785036630929,Unknown,#1e90ff,
cysB,cysB,975.0,-0.006433457150124013,Unknown,#1e90ff,
csgC,csgC,333.0,-0.0006310633459361269,Unknown,#1e90ff,
mngR,mngR,723.0,-0.0031729978136718273,Unknown,#1e90ff,
amiA,amiA,870.0,-0.0027084902301430704,Unknown,#1e90ff,
aroH,aroH,1047.0,-0.002396109774708748,Unknown,#1e90ff,
mviN,mviN,511.0,0.007198980594985188,Unknown,#1e90ff,
tktA,tktA,1992.0,-0.0057166223879903545,Unknown,#1e90ff,
slp,slp,567.0,-0.01653462333604694,Unknown,#1e90ff,
ycjL,ycjL,258.0,0.013852329570800063,Unknown,#1e90ff,
ycgM,ycgM,660.0,-0.006387151605449617,Unknown,#1e90ff,
nuoM,nuoM,1530.0,0.006001172671094537,Unknown,#1e90ff,
rfaD,rfaD,310.0,-0.01129013955593109,Unknown,#1e90ff,
ycjX,ycjX,1398.0,-0.011541373208165168,Unknown,#1e90ff,
ycjM,ycjM,1680.0,-0.002636622125282884,Unknown,#1e90ff,
insB_4,insB_4,167.0,-0.0042527399118989714,Unknown,#1e90ff,
murC,murC,1476.0,-0.009114895276725292,Unknown,#1e90ff,
yncE,yncE,1062.0,0.0017644072009716184,Unknown,#1e90ff,
ycbR,ycbR,699.0,-0.00247677685925737,Unknown,#1e90ff,
hydN,hydN,528.0,-0.005736286761239171,Unknown,#1e90ff,
mrcB,mrcB,2535.0,-0.00963348732329905,Unknown,#1e90ff,
yneJ,yneJ,882.0,0.0035284904087893665,Unknown,#1e90ff,
ycbB,ycbB,615.0,-0.009650006210431456,Unknown,#1e90ff,
hycB,hycB,612.0,-0.0037498862529173494,Unknown,#1e90ff,
fhuA,fhuA,2244.0,0.002130808671936393,Unknown,#1e90ff,
ydiQ,ydiQ,765.0,-0.008375725792720914,Unknown,#1e90ff,
hemG,hemG,546.0,-0.0026412524678744373,Unknown,#1e90ff,
cueO,cueO,1551.0,0.15425793826580048,Unknown,#1e90ff,
rpoH,rpoH,855.0,0.004577500014565885,Unknown,#1e90ff,
b4285,b4285,1041.0,-0.002628646108787507,Unknown,#1e90ff,
cusC,cusC,1374.0,0.011803868496790527,Unknown,#1e90ff,
nac,nac,918.0,0.0019546675391029565,Unknown,#1e90ff,
yiaT,yiaT,741.0,-0.01324770220555365,Unknown,#1e90ff,
wrbA,wrbA,597.0,-0.005098804282024503,Unknown,#1e90ff,
ybdR,ybdR,1239.0,-0.0034566415590234103,Unknown,#1e90ff,
yidK,yidK,1716.0,-0.003982829791493714,Unknown,#1e90ff,
appA,appA,1299.0,-0.0007023471512366086,Unknown,#1e90ff,
ybeR,ybeR,708.0,-0.0028347056778147816,Unknown,#1e90ff,
rsuA,rsuA,696.0,-0.0036956152156926688,Unknown,#1e90ff,
yidR,yidR,1248.0,-0.0013461789477150887,Unknown,#1e90ff,
phoH,phoH,1065.0,0.011947735957801344,Unknown,#1e90ff,
ybeU,ybeU,708.0,-0.0141432636231184,Unknown,#1e90ff,
yfiC,yfiC,735.0,-0.006529113803990186,Unknown,#1e90ff,
yidH,yidH,348.0,0.008151610353961588,Unknown,#1e90ff,
ycjY,ycjY,921.0,-0.0069839971512556075,Unknown,#1e90ff,
ubiF,ubiF,1176.0,-0.0003523567720549181,Unknown,#1e90ff,
yagY,yagY,669.0,-0.00686491814441979,Unknown,#1e90ff,
yajG,yajG,579.0,0.002736260872334242,Unknown,#1e90ff,
fepA,fepA,2241.0,0.004034592346288264,Unknown,#1e90ff,
