,condition,A_avg,A_std,n,rep1_idx,rep1_A
0,Cr__1,0.005558894760906696,,1.0,0.0,0.005558894760906696
1,Cr__2,0.015220310930162668,,1.0,1.0,0.015220310930162668
2,Cr__3,0.004964200342074037,,1.0,2.0,0.004964200342074037
3,Cr__4,0.012795634986832735,,1.0,3.0,0.012795634986832735
4,Cr__5,0.0029898967593908307,,1.0,4.0,0.0029898967593908307
5,Cr__6,-0.007271516406908631,,1.0,5.0,-0.007271516406908631
6,Fe__1,-0.08850490011274814,,1.0,6.0,-0.08850490011274814
7,Fe__2,-0.06887645021080971,,1.0,7.0,-0.06887645021080971
8,Fe__3,-0.19454104229807853,,1.0,8.0,-0.19454104229807853
9,Fe__4,-0.15150565043091774,,1.0,9.0,-0.15150565043091774
10,Fe__5,-0.1396689686179161,,1.0,10.0,-0.1396689686179161
11,Fe__6,-0.18408240512013435,,1.0,11.0,-0.18408240512013435
12,Cd__1,-0.029721174854785207,,1.0,12.0,-0.029721174854785207
13,Cd__2,-0.08535510562360286,,1.0,13.0,-0.08535510562360286
14,Cd__3,-0.08992436118423937,,1.0,14.0,-0.08992436118423937
15,Cd__4,-0.06371497295796871,,1.0,15.0,-0.06371497295796871
16,Cd__5,-0.03738481145352125,,1.0,16.0,-0.03738481145352125
17,Cd__6,-0.04692909047007561,,1.0,17.0,-0.04692909047007561
18,Zn__1,-0.007355084535665809,,1.0,18.0,-0.007355084535665809
19,Zn__2,0.00779951827134937,,1.0,19.0,0.00779951827134937
20,Zn__3,-0.00020571097891661336,,1.0,20.0,-0.00020571097891661336
21,Zn__4,0.030281479209661483,,1.0,21.0,0.030281479209661483
22,Zn__5,0.062334184162318715,,1.0,22.0,0.062334184162318715
23,Zn__6,0.05476364329457283,,1.0,23.0,0.05476364329457283
24,Cu__1,1.2108394968509677,,1.0,24.0,1.2108394968509677
25,Cu__2,1.57453507065773,,1.0,25.0,1.57453507065773
26,Cu__3,2.2754502081871038,,1.0,26.0,2.2754502081871038
27,Cu__4,2.893652219772339,,1.0,27.0,2.893652219772339
28,Cu__5,2.7497793221473694,,1.0,28.0,2.7497793221473694
29,Cu__6,3.1163739728927613,,1.0,29.0,3.1163739728927613
30,Pb__1,-0.009718315107747913,,1.0,30.0,-0.009718315107747913
31,Pb__2,-0.008334187669679522,,1.0,31.0,-0.008334187669679522
32,Pb__3,-0.013694947101175784,,1.0,32.0,-0.013694947101175784
33,Pb__4,-0.016359396819025276,,1.0,33.0,-0.016359396819025276
34,Pb__5,-0.029009735006839038,,1.0,34.0,-0.029009735006839038
35,Pb__6,-0.042942940182983884,,1.0,35.0,-0.042942940182983884
