,prpC
Cr_1,-0.00018138772939262456
Cr_2,-0.005976194155597094
Cr_3,0.006843829669452755
Cr_4,0.008182273537091903
Cr_5,0.004892461426336579
Cr_6,0.0044504365123049505
Fe_1,-0.03151425441888845
Fe_2,-0.04930887986510939
Fe_3,-0.07678401975096448
Fe_4,-0.0724868160998996
Fe_5,-0.0768891880849452
Fe_6,-0.06764621958306663
Cd_1,0.005302683646620973
Cd_2,0.0030021091816681464
Cd_3,0.007969112585219625
Cd_4,0.016838446131038836
Cd_5,0.021553339843423128
Cd_6,0.028273390294517118
Zn_1,-0.017579137124288494
Zn_2,-0.05230052812624319
Zn_3,-0.02620551655439072
Zn_4,0.005183552709242297
Zn_5,0.03181749491262286
Zn_6,0.0273911648173968
Cu_1,0.004741381754805136
Cu_2,0.003883047710235525
Cu_3,0.010922659676927805
Cu_4,0.01757479386155756
Cu_5,0.010905949481093202
Cu_6,0.00475921470763312
Pb_1,-0.0018852689890933227
Pb_2,0.010257568062441715
Pb_3,0.003976873754270991
Pb_4,1.8398533406336233e-05
Pb_5,0.0049308156318338715
Pb_6,0.010265710892291226
