,A,RbsR,Crp
R2,,0.4833326356307046,0.022729175453908956
xmin,,-1.7910156035,-9.852476477
xmid,,-0.5428461864636099,
xmax,,5.6453934485,1.6003325529999999
ystart,,-1.6530074754701172,-3.06302261744519
yend,,17.960806942190043,1.6415212080360309
control__wt_glc__1,-0.0875350288,-0.052521581500000004,0.012478646000000001
control__wt_glc__2,0.0875350288,0.052521581500000004,-0.012478646000000001
fur__wt_dpd__1,-5.4586833522,-0.5079648775,0.077574131
fur__wt_dpd__2,-5.6329482849,-0.3799357065,-0.090682171
fur__wt_fe__1,0.41420428270000004,-0.1705626425,-0.030513673
fur__wt_fe__2,0.19326830990000002,-0.1227862895,0.05819072
fur__delfur_dpd__1,-4.3713155502,-0.7500504395,-0.105981984
fur__delfur_dpd__2,-3.0814310279,-0.8699354245,-0.22346684100000003
fur__delfur_fe2__1,0.1521949685,0.0811936925,0.436429913
fur__delfur_fe2__2,0.0416956874,-0.0105432835,0.367563393
acid__wt_ph5__1,-1.1234102249,-0.5161746355,0.345522573
acid__wt_ph5__2,-0.8838290152,-0.20777950050000002,0.343136463
acid__delgadx_ph5__2,-0.6650785629,-0.09354087650000001,0.33938771300000004
acid__delgadw_ph5__1,-0.5545884454000001,-0.0628532275,0.383863793
acid__delgadw_ph5__2,-0.9030629653000001,0.0309951025,0.33986178300000003
acid__delgade_ph5__1,-1.2205698654,-0.1215119145,0.43240872300000005
acid__delgade_ph5__2,-1.2556457817,-0.24065121750000001,0.482436193
oxidative__wt_pq__1,-4.5583142946,-0.7498062275,0.17662370300000002
oxidative__wt_pq__2,-4.9134637084,-0.4893689715,0.24038529300000003
oxidative__deloxyr_pq__1,-4.8663074919,-0.0009036125,0.513155013
oxidative__deloxyr_pq__2,-4.7495445406,-0.1119095875,0.536337303
oxidative__delsoxr_pq__1,-5.4816553087,-0.9303969355,0.334672533
oxidative__delsoxr_pq__2,-5.1367438724,-0.6926991525,0.387059873
oxidative__delsoxs_pq__1,-4.6438472362,-0.4405183615,0.513462963
oxidative__delsoxs_pq__2,-4.1503559285,-0.49485932850000003,0.5104807530000001
