,-0.0966296436,-0.0724722327,-0.048314821800000005,-0.02415741090000001,-1.3877787807814457e-17,0.02415741089999998,0.04831482179999998,0.07247223269999996,0.09662964359999997,0.12078705449999998,0.14494446539999994,0.16910187629999995,0.19325928719999996,0.21741669809999997,0.24157410899999993,0.26573151989999994,0.28988893079999994,0.31404634169999995,0.33820375259999996,0.3623611634999999
thresh,-0.10870834905,0.10870834905,6,,,,,,,,,,,,,,,,,
unreg,1,1,23,464,2735,415,21,0,0,0,0,0,0,0,0,0,0,0,0,0
dsrA,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,3,69,368,83,8,4,0,0,0,0,0,0,0,0,0,0,0,0
RbsR,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dsrA and Crp,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dsrA, Crp, and RbsR",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
dsrA_genes,[],[],[],[],['lrp' 'ilvI' 'hns' 'argR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],['ygeA' 'lamB' 'lacY'],"['entC' 'raiA' 'fepA' 'pck' 'yiaK' 'melA' 'ansB' 'csiE' 'glpQ' 'fucU'
 'fecE' 'yahN' 'ompR' 'malM' 'paaF' 'fbaA' 'srlA' 'tnaA' 'galS' 'paaD'
 'psiE' 'hofO' 'serC' 'galP' 'aroA' 'osmY' 'prpB' 'oxyR' 'yjcH' 'citX'
 'comR' 'cirA' 'araF' 'lacA' 'yjhH' 'rhaD' 'ascB' 'ulaF' 'aegA' 'sucD'
 'ptsH' 'aaeA' 'fumC' 'caiA' 'actP' 'paaC' 'nanT' 'pgk' 'xylB' 'paaZ'
 'paaA' 'araE' 'sucC' 'pflB' 'mazF' 'fucK' 'glpD' 'ldtB' 'srlD' 'glnA'
 'cas2' 'gltD' 'nanS' 'aaeR' 'mhpB' 'casA' 'ugpB' 'ygcW' 'fecB']","['ulaD' 'uidC' 'gatD' 'fucI' 'ompA' 'cstA' 'psuG' 'tdcA' 'cysG' 'chbG'
 'yaeQ' 'ascF' 'paaH' 'ppdD' 'acnB' 'fur' 'yfaE' 'mazE' 'uxaC' 'focB'
 'hyfG' 'fixA' 'srlE' 'yhcH' 'caiE' 'gltA' 'fecA' 'serA' 'malY' 'gapA'
 'gntK' 'psuK' 'melB' 'agp' 'hofC' 'csiD' 'yiaL' 'malX' 'lpd' 'fiu' 'dcuB'
 'abgR' 'casC' 'prpD' 'ugpE' 'fucR' 'dsdA' 'gltB' 'chbF' 'hyfJ' 'chiP'
 'glpT' 'glcC' 'umpH' 'fucA' 'galM' 'citE' 'entD' 'fecD' 'fumB' 'rseB'
 'csgE' 'mpl' 'rpoH' 'ilvN' 'gadX' 'rseA' 'ycdZ' 'ugpC' 'narQ' 'idnR'
 'sodA' 'araJ' 'nanM' 'sohB' 'mdh' 'hyfR' 'ugpQ' 'speC' 'lsrR' 'epd'
 'nirD' 'yeiW' 'ychH' 'relA' 'modC' 'chbC' 'hupA' 'caiD' 'yjhG' 'acs'
 'gadC' 'glpC' 'idnK' 'hofB' 'nadC' 'lacZ' 'xseA' 'xylA' 'casE' 'csqR'
 'nrdB' 'dksA' 'ulaB' 'hflC' 'xylR' 'pncB' 'gadB' 'cpdB' 'tdcF' 'araH'
 'rplI' 'cyoB' 'ampE' 'fucP' 'lsrA' 'rhaA' 'lsrD' 'puuB' 'malS' 'prpC'
 'mhpA' 'galK' 'cyaA' 'sbmC' 'xylE' 'dadX' 'preA' 'ilvB' 'proP' 'cyoE'
 'gutQ' 'mhpF' 'lgoD' 'tnaB' 'glpF' 'ynfK' 'cyoA' 'metK' 'nagC' 'exuT'
 'aaeB' 'sdhB' 'ugpA' 'sucB' 'cytR' 'rpsF' 'manA' 'galT' 'puuC' 'ebgC'
 'csgG' 'hpt' 'tdcC' 'aaeX' 'tdcD' 'aspA' 'gntU' 'nirC' 'rpsR' 'cyoC'
 'priB' 'guaB' 'pdhR' 'rpsI' 'rof' 'gcd' 'rhaS' 'entA' 'cyoD' 'yhgH'
 'glpR' 'glgS' 'hflX' 'tam' 'caiT' 'rpoE' 'marR' 'caiC' 'cas3' 'lsrK'
 'grpE' 'rplM' 'fucO' 'yaeP' 'sgbE' 'crp' 'ybiT' 'preT' 'malF' 'nrdA'
 'treC' 'uxaB' 'mhpE' 'hflK' 'nlpE' 'rmf' 'gyrA' 'lhgO' 'nanK' 'modB'
 'glpE' 'hyfB' 'ulaC' 'argG' 'nagE' 'gabD' 'lgoR' 'bhsA' 'gcvT' 'dpiB'
 'gcvH' 'plaR' 'yeiP' 'paaK' 'fumA' 'manZ' 'uxuR' 'srlR' 'cas1' 'caiB'
 'galE' 'mdtF' 'entH' 'tdcB' 'ykgR' 'dgoD' 'lsrB' 'nanA' 'ampD' 'nfuA'
 'hyfA' 'casD' 'dadA' 'hicB' 'arfB' 'cspD' 'cdd' 'dcuA' 'yjhI' 'citC'
 'treB' 'gatA' 'modA' 'araA' 'ubiG' 'citG' 'sdhD' 'paaB' 'glpA' 'paaJ'
 'gcvP' 'citF' 'manY' 'srlB' 'puuE' 'uxaA' 'sfsA' 'puuD' 'rspA' 'ulaE'
 'glgP' 'csgD' 'glpG' 'crr' 'glgA' 'sdhA' 'lsrF' 'mtlR' 'araC' 'entB'
 'mokB' 'gutM' 'mhpC' 'yiaN' 'citD' 'mglB' 'hofN' 'rhaB' 'btsT' 'hfq'
 'dpiA' 'sgcX' 'xylH' 'malG' 'zraS' 'rseC' 'lyxK' 'araD' 'hlyE' 'casB'
 'dgoA' 'uxuB' 'hyfI' 'nanC' 'ygeW' 'idnT' 'acnA' 'ebgA' 'glpK' 'glpX'
 'lsrC' 'rhaT' 'gadA' 'sucA' 'mglC' 'glgC' 'xylF' 'paaE' 'hyfH' 'tdcE'
 'mdtE' 'feaB' 'araG' 'chbR' 'mhpR' 'guaA' 'dusB' 'chbA' 'ntrC' 'gatC'
 'mlc' 'ulaA' 'aldA' 'manX' 'sodB' 'nupC' 'sgbH' 'rseD' 'yhfA' 'glnL'
 'nirB' 'sgbU' 'trxA' 'idnO' 'paaI' 'gatB' 'gabT' 'sdhC' 'bglG' 'hyfC'
 'prpR' 'bglB' 'aldB' 'dgoR' 'fixC' 'paaG' 'kbaZ' 'rpsO' 'secB' 'csgF'
 'dgoT' 'fecC' 'patZ' 'uxuA' 'uidB' 'prpE' 'fadD' 'hicA' 'caiF' 'mtlA'
 'hyfD' 'gadE' 'lsrG' 'puuR' 'yiaM' 'agaA' 'fis']","['idnD' 'pnp' 'hyfF' 'malI' 'hyfE' 'rhaR' 'envZ' 'aceE' 'gatZ' 'focA'
 'exuR' 'rihA' 'nagA' 'mtlD' 'chbB' 'mglA' 'ompW' 'udp' 'entE' 'gntP'
 'yiaO' 'aceA' 'gabP' 'mhpD' 'araB' 'dcuR' 'lacI' 'nagB' 'rspB' 'xylG'
 'malE' 'gpsA' 'nusA' 'infB' 'rimP' 'rbfA' 'feaR' 'sgcR' 'bglF' 'gltF'
 'uidA' 'nanE' 'tdcG' 'chiQ' 'sgcQ' 'ompF' 'glpB' 'gdhA' 'aceK' 'fixB'
 'yqeF' 'sgcA' 'gntT' 'cspE' 'truB' 'sgcB' 'hofM' 'deoB' 'dgoK' 'dsdX'
 'zraR' 'agaV' 'melR' 'deoD' 'gatY' 'hupB' 'flhD' 'malK' 'sgcE' 'fadL'
 'flhC' 'marB' 'aceF' 'trg' 'ppiA' 'uhpT' 'ortT' 'murQ' 'murP' 'aer'
 'aceB' 'sgcC' 'putP']",['malT' 'tsx' 'marA' 'grcA' 'nupG' 'dctA' 'fadH' 'agaW'],['deoA' 'ptsG' 'deoC' 'ptsI'],[],[],[],[],[],[],[],[],[],[],[],[]
