,ycfR
Cr_1,-0.002425289515169677
Cr_2,-0.002742556453534949
Cr_3,-0.008881879512073023
Cr_4,-0.01038348907561241
Cr_5,-0.0007640475206670617
Cr_6,0.01532033193710021
Fe_1,-0.017039176150626445
Fe_2,-0.04959084439953345
Fe_3,-0.08694819709454205
Fe_4,-0.1212403438733449
Fe_5,-0.1472235053051794
Fe_6,-0.16615174227698967
Cd_1,0.0037405690485639866
Cd_2,0.017113238029267303
Cd_3,0.03009262934548048
Cd_4,0.039714797623927364
Cd_5,0.03741744801048499
Cd_6,0.04173088137189655
Zn_1,-0.007913066276842561
Zn_2,-0.007304564852283302
Zn_3,-0.008973882957322528
Zn_4,0.0034544023878697906
Zn_5,0.012411502294364114
Zn_6,0.02195403705115904
Cu_1,-0.0013345550419262466
Cu_2,-0.0011151511389316296
Cu_3,-0.00027178269261094633
Cu_4,0.005857305195688525
Cu_5,0.010447912493798816
Cu_6,0.009922240104938659
Pb_1,0.012208155134418093
Pb_2,0.022183102031357645
Pb_3,0.02911964928556698
Pb_4,0.03966493690206276
Pb_5,0.04206501390529044
Pb_6,0.04572655558979532
