,A,SgrR,DksA
R2,,0.027764323961876114,0.0
xmin,,-3.3980296734,-2.4607235254
xmid,,-1.7299354544094414,
xmax,,2.4379146671000003,3.1213327657
ystart,,-0.7604728854790513,0.017703140668772377
yend,,1.3178234554520234,0.017703140668772377
aat__00m_00s__1,0.5561384757,0.06669344690000001,0.08054442
aat__00m_30s__1,0.8930611662,-0.07178762820000001,0.12214406850000001
aat__01m_00s__1,1.4556979992,-0.0882971396,0.1382325375
aat__02m_00s__1,1.0535303906,-0.1650682618,0.029363574400000002
aat__05m_00s__1,0.8006288326000001,-0.47068005970000004,0.1536590897
aat__10m_00s__1,1.2265116541,-0.3033295409,-0.08948817220000001
aat__00m_00s__2,-0.5820258873,-0.0060105110000000005,-0.07741183900000001
aat__00m_30s__2,0.2701801399,-0.0440397888,0.1973309123
aat__01m_00s__2,1.5113904427,0.0824405329,0.1813637991
aat__02m_00s__2,1.2281456593,-0.164197656,0.1222568287
aat__05m_00s__2,0.9249044121000001,-0.2387735105,0.1975339776
aat__10m_00s__2,0.4772452628,-0.5064705767000001,0.5127946045
aat__00m_00s__3,0.0258874116,-0.060682935900000005,-0.003132581
aat__00m_30s__3,0.9220142191,-0.3538045137,0.4870742456
aat__01m_00s__3,1.3299882504,-0.1501660876,0.2862930902
aat__02m_00s__3,0.6815549784,-0.1590877934,0.3406877553
aat__05m_00s__3,0.3681146541,-0.3072907012,0.4949504851
aat__10m_00s__3,0.5050814342000001,-0.34201353770000004,0.4639717364
abx_mega__dmso-2__1,-0.4133260107,0.4395636512,0.32099072230000003
abx_mega__ery_dmso__1,2.0359247811,-0.19486689040000002,-0.2611013585
abx_mega__nal_naoh__1,2.6560122543,0.5555277653,0.4520049385
abx_mega__dmso-5__1,-1.117015579,-0.24898473470000002,-0.10900234290000001
abx_mega__rif_dmso__1,-0.040859904700000005,0.46547956420000003,0.9415973331
abx_mega__novo_h2o__1,5.4935414619,0.0843850851,-1.0620210601
abx_mega__rach_dmso__1,0.7168319012000001,-0.1659162297,-0.7266650701
abx_mega__metro_dmso__1,-0.8815598976000001,0.3918238348,0.1516893865
abx_mega__dmso-6__1,-0.1698092622,-0.021630132,-0.3209965442
abx_mega__chl_h2o__1,3.0875485094,-0.3546910985,-1.282108507
abx_mega__cst_h2o__1,0.5441497697000001,0.6684296015,-0.5987943937
abx_mega__tec_h2o__1,5.1481039358,1.5398918737,0.8045375289000001
abx_mega__str_h2o__1,3.6017552122,-0.15807376,0.4154885464
abx_mega__ctx_h2o__1,0.5384811176000001,0.7491760936,-0.3904574854
abx_mega__nal_naoh__2,-0.4850706128,0.3090523917,-0.2659185626
abx_mega__phos_h2o__1,-0.2061982393,0.20620038370000002,-1.3633367388
abx_mega__dmso-5__2,-0.2567900114,0.2291247055,-0.0731294266
abx_mega__polmyx_h2o__1,0.6377841336,0.5149024344,0.3186418733
abx_mega__h2o-8b__1,-0.2403821112,0.7832695636,-1.1214803548
abx_mega__h2o-6__1,-0.2167496361,0.39726698200000005,-0.4785395866
abx_mega__thio_dmso__1,1.2924030615,0.2629566323,-2.3800087462
abx_mega__phos_h2o__2,0.8964067622,0.373817607,-0.5222562487
abx_mega__ctx_h2o__2,1.3237672796,0.6442535272000001,-1.4069016635
abx_mega__lzd_dmso__1,1.9035667829,0.1484633924,-1.3108981746000001
abx_mega__naoh-9__1,0.9647331294,0.9598744849,-0.8125281283
abx_mega__dox_dmso__1,-0.2912122539,0.1689624171,-0.1548596273
abx_mega__phos_ethanol__1,1.1400612626,0.318970525,-0.7720687267
abx_mega__teix_dmso__1,3.4298680839,0.2283782479,-0.7507184343000001
abx_mega__dmso-10__1,-0.5336289613,0.1901241474,-0.7252470645
abx_mega__van_dmso__1,1.254184221,-0.9739381281,-0.242829762
abx_mega__ramo_h2o__1,2.1006644906,0.7846425356000001,-0.4150174795
abx_mega__tec_h2o__2,2.5856104268999998,0.2194386441,-0.6111387022
abx_mega__h2o-7__1,0.6306327967,0.5314797621,-1.6060836332
abx_mega__cro_h2o__1,0.8309680949,0.6573237011,-1.4147163202
abx_mega__tric_ethanol__1,-0.548451046,1.3732233501,-0.2570357653
abx_mega__nor_naoh__1,-0.1115578556,0.270155034,-0.28057773140000003
abx_mega__teix_dmso__2,-0.23251896660000002,-0.2371709619,-0.15133045550000002
abx_mega__nal_naoh__3,-0.6493565865,0.1600578868,-0.2592107229
abx_mega__novo_h2o__2,6.4556925894,0.1709214452,-1.110714593
abx_mega__dmso-10__2,0.5318069712,0.2935799887,-0.7253675970000001
abx_mega__phos_h2o__3,0.19178042650000002,0.44289102300000005,-0.5071387775
abx_mega__dmso-6__2,-0.49049212140000004,-0.06710478240000001,-0.3396721623
abx_mega__rfp_ethanol__1,1.8039165917000002,0.41892036050000003,-0.48287741580000004
abx_mega__dmso-5__3,0.214726312,-0.024740988300000002,-0.3053108396
abx_mega__amyc-d_dmso__1,0.9201361495,0.0507059557,0.3639178402
abx_mega__sxt_dmso__1,-0.1491909707,0.12053532750000001,-1.3380411379
abx_mega__dmso-1__1,0.1526717257,-0.8862795228,-0.1218927747
abx_mega__pen_h2o__1,0.36954155580000003,-0.5699935648000001,0.5315848489
abx_mega__dmso-10__3,0.4986681838,0.6037746376,-0.6381587979000001
abx_mega__nal_naoh__4,0.40948164130000003,0.0456887387,-0.8129888084
abx_mega__cip_naoh__1,-0.1574597395,0.053871139000000005,-0.6032056492
abx_mega__pen_h2o__2,0.9372818180000001,0.18400606730000002,0.3354205934
abx_mega__ery_dmso__2,0.924913846,0.284303751,-0.1681832795
abx_mega__dmso-2__2,0.48772452980000003,0.6457113704,0.3366323142
abx_mega__van_dmso__2,0.9907921451,-0.6615365579,-0.287982611
abx_mega__h2o-1b__1,1.0620100035,-0.3380080325,-0.6043456882
abx_mega__ery_h2o__1,1.6936952973000001,-0.6894027363,-1.8884143283000001
abx_mega__bacit_h2o__1,3.5157825238,0.3788484333,0.2086485204
abx_mega__chl_h2o__2,3.0206139463,-0.4134240162,-1.1576640517
abx_mega__str_h2o__2,0.7649449764,0.3489355146,0.3338367067
abx_mega__rfp_ethanol__2,4.0471103407,-0.0655328662,-0.1944611812
abx_mega__polmyx_h2o__2,0.3980003023,0.2500045345,-0.4520839627
abx_mega__tric_h2o__1,-0.5548455905,1.5149221586000001,-0.3790696283
abx_mega__cip_naoh__2,0.4816310298,0.0841998665,-0.44769489560000003
abx_mega__novo_h2o__3,6.4894928649,0.2371926464,-1.3095794253
abx_mega__bacit_dmso__1,1.4556972867,0.0690841477,0.5003869674
abx_mega__gen_h2o__1,0.19745477890000002,1.04828193,0.6809570032000001
abx_mega__bacit_dmso__2,1.0387160197,0.43086790960000004,0.8856632296
abx_mega__chl_dmso__1,1.4149687331,0.1175007074,0.7726998429
abx_mega__bacit_h2o__2,2.8218358396000003,0.1429084424,0.6800005283
abx_mega__lvx_dmso__1,0.8609903623,-0.2272799566,-0.6484440257
abx_mega__bacit_h2o__3,3.4157660969,0.42413945280000004,0.26261175200000003
