,fliE
Cr_1,0.00033717170517985807
Cr_2,0.006869628080945906
Cr_3,0.01277508763190393
Cr_4,0.013544493850795009
Cr_5,0.014706743292275087
Cr_6,0.02017323201943451
Fe_1,-0.01770402938944895
Fe_2,-0.045663863595264885
Fe_3,-0.06519692301179353
Fe_4,-0.07474524341611452
Fe_5,-0.07632419639753059
Fe_6,-0.07486369765277544
Cd_1,-0.005524543506257493
Cd_2,-0.008763307537204059
Cd_3,0.00847007684418698
Cd_4,0.03951438546011567
Cd_5,0.07648975389861444
Cd_6,0.09769740813481677
Zn_1,0.0009583882908621601
Zn_2,-0.001302195579950834
Zn_3,-0.000329851957761718
Zn_4,-0.0009962829913193886
Zn_5,-0.0016506348897150438
Zn_6,-0.00546290613322774
Cu_1,0.0007024649044731613
Cu_2,0.00047253861700129483
Cu_3,0.00013924544725433272
Cu_4,-0.003783160558441564
Cu_5,-0.010694736558544395
Cu_6,-0.019891081466536304
Pb_1,-0.0007373288929271372
Pb_2,-0.0013868965564924054
Pb_3,-0.0013050562222231342
Pb_4,-0.002112818062266976
Pb_5,6.560274695771742e-06
Pb_6,0.0027190013135135038
