,A,ComK
R2,,0.7237010895956413
xmin,,-3.7855666667000003
xmid,,-0.5553739657232241
xmax,,2.7816333333000003
ystart,,-5.3302842310315635
yend,,26.339319219438394
LBexp_1,-10.747492269,-1.4708666667
LBexp_2,-11.8139198367,-1.0927666667
LBexp_3,-10.3712460834,-1.4686666667
LBtran_1,-7.3743297871,-0.6185666667
LBtran_2,-8.3542115953,-1.1526666667
LBtran_3,-7.9997532261,-0.9867666667
LBstat_1,-9.454350437,-1.6279666667
LBstat_2,-7.379627553,-1.9375666667
LBstat_3,-7.0693825671,-2.2374666667
LBGexp_1,-9.3641548529,-1.3858666667000001
LBGexp_2,-9.2688238476,-1.3070666667
LBGexp_3,-9.966641429,-1.3696666667000001
LBGtran_2,-7.2425960426,-1.1367666667
LBGtran_3,-7.2323286278,-0.40096666670000003
LBGstat_1,-7.8394259911,-1.7795666667
LBGstat_2,-7.6964020331,-2.2487666667
LBGstat_3,-4.4831293641,-1.5101666667
S0_1,16.2287834199,0.1594333333
S0_2,17.2419382979,0.5998333333
S0_3,18.272580954,0.6796333333
S1_1,13.7305501724,1.7479333333
S1_2,14.2166562016,1.9759333333
S1_3,15.9586577882,2.1342333333
S2_1,21.8695354983,1.6385333333
S2_2,22.8551748247,1.7264333333000002
S2_3,24.0817186102,2.0247333333
S3_1,17.5334929173,1.5413333332999999
S3_2,16.3182501986,1.7427333333
S4_1,13.4771130756,1.8513333333
S4_2,14.7755191314,1.4049333333
S4_3,14.7952439084,1.3776333333
S5_1,13.1671972526,1.2817333333
S5_2,11.6987619564,1.3927333333
S5_3,14.0988235256,1.8826333333
S6_1,10.4514199603,0.8422333333
S6_2,-0.97581807,-1.1466666667
S6_3,14.1886298602,1.4209333333
S6/t_1,9.0445480577,0.5695333333
S6/t_2,0.6463284846,-1.8608666667
S6_4,8.7765027258,0.0891333333
S6_5,9.3293990604,0.8831333333
S6_6,8.9167261478,0.8656333333
S7_4,5.7808849608,0.5801333333
S7_5,6.2670359569,0.3859333333
S7_6,5.2244137336,0.3712333333
S8_4,4.0174792842,-0.015166666700000001
S8_5,0.48426146410000004,-0.8438666667
G135_1,-7.6747748846,-3.1493666667
G135_3,-3.091043364,-3.6472666667
