,-0.04292967685714285,-0.028619784571428566,-0.014309892285714283,0.0,0.014309892285714283,0.02861978457142856,0.04292967685714285,0.05723956914285714,0.07154946142857141,0.08585935371428569,0.10016924599999996,0.11447913828571427,0.12878903057142854,0.14309892285714282,0.15740881514285712,0.1717187074285714,0.18602859971428568,0.20033849199999995,0.21464838428571423,0.2289582765714285
thresh,-0.050084622999999995,0.050084622999999995,2,,,,,,,,,,,,,,,,,
unreg,1,32,701,4606,395,40,7,3,5,2,2,2,3,1,1,0,0,0,0,0
ComK,0,0,3,11,23,5,2,1,7,1,2,2,3,4,3,4,3,0,0,0
unreg_genes,[],[],[],[],[],[],[],['sacY' 'dprA' 'sacX'],['yckA' 'S1175' 'hxlR' 'yckB' 'ycbP'],['S1579' 'S1354'],['S962' 'S1'],['S1583' 'coiA'],['S125' 'S1398' 'S413'],['S98'],['S1458'],[],[],[],[],[]
ComK_genes,[],[],['yhjC' 'S368' 'yhjB'],"['kre' 'S1575' 'rpsR' 'ssbA' 'bdbD' 'minC' 'hlpB' 'rpsF' 'thdF' 'bdbC'
 'S605']","['noc' 'mreD' 'addB' 'gidA' 'S1577' 'gidB' 'S378' 'sbcC' 'addA' 'sbcD'
 'minD' 'mreC' 'mreB' 'S124' 'S1578' 'fliW' 'yviE' 'csrA' 'flgL' 'yvrN'
 'yvrO' 'flgK' 'yvrP']",['flgM' 'yvyG' 'S1353' 'recA' 'yvyF'],['radC' 'maf'],['yyaF'],['S245' 'rapH' 'phrH' 'S366' 'ybdK' 'S367' 'comK'],['comEB'],['comFB' 'comFC'],['comEC' 'nucA'],['nin' 'comC' 'S925'],['S963' 'comEA' 'S1399' 'ssbB'],['comFA' 'S122' 'spoIIIL'],['comGG' 'comGF' 'comGA' 'comGE'],['comGC' 'comGB' 'comGD'],[],[],[]
