,A,RpoS
R2,,0.5233084669566943
xmin,,-2.479313904
xmid,,
xmax,,3.009075552
ystart,,-42.26824697429668
yend,,21.305799233133108
ecoli_00001,0.1302823878,-0.049727751
ecoli_00002,-0.1302823878,0.049727751
ecoli_00003,19.2813816733,1.650326502
ecoli_00004,19.9717902803,1.6437026920000002
ecoli_00005,-1.6530242947,-0.22947255900000002
ecoli_00006,-1.9670488561,-0.271725376
ecoli_00007,19.5530432834,1.527195722
ecoli_00008,17.9831305496,1.238544582
ecoli_00009,2.1437924872,0.6013075320000001
ecoli_00010,3.2980976138,0.622610922
ecoli_00011,7.2761514838,0.177302749
ecoli_00012,7.1343132517,0.18070148100000002
ecoli_00014,6.4268641259,0.041918445000000006
ecoli_00015,6.9153021231,0.132946996
ecoli_00016,6.7814689039000005,0.028727889000000003
ecoli_00017,6.9823657595,0.245873005
ecoli_00018,7.0126244435,0.353677022
ecoli_00019,17.3321621541,2.449326732
ecoli_00020,16.7824511334,2.150239472
ecoli_00021,11.6992626884,1.918683632
ecoli_00022,11.7263346093,1.875718832
ecoli_00023,15.7617412235,2.174649812
ecoli_00024,16.0542663717,2.132365622
ecoli_00025,19.130454661999998,2.427061572
ecoli_00026,19.1876177726,2.475274892
ecoli_00027,10.8841597629,1.849426562
ecoli_00028,10.6876292962,1.826245562
ecoli_00029,8.0462771621,0.9658633820000001
ecoli_00030,7.7484214764,0.8995555820000001
ecoli_00031,12.8772285741,1.143877012
ecoli_00032,13.0697606988,1.201356272
ecoli_00033,10.2346111551,2.170823912
ecoli_00034,9.4745668581,2.363496512
ecoli_00035,6.4131605902,1.560056102
ecoli_00036,6.3558689789,1.572826172
ecoli_00037,11.2142545866,1.461736342
ecoli_00038,11.427058506,1.4067977520000001
ecoli_00039,-5.7740028446,0.360177262
ecoli_00040,-5.8246954731,0.369957452
ecoli_00041,11.9046926649,0.9244569520000001
ecoli_00042,7.0180535628,0.42003344200000003
ecoli_00043,-3.8262566442,0.24477252300000002
ecoli_00044,-3.628914231,0.071577395
ecoli_00045,-10.9194149241,-0.25510862900000003
ecoli_00046,-10.8575110101,-0.162772564
ecoli_00047,-2.2018025052,0.10687962200000001
ecoli_00048,-1.7312910973000002,0.197510713
ecoli_00049,9.4684951511,1.136068692
ecoli_00050,-1.0779830776,-0.23051727
ecoli_00051,-0.8409958835,0.043958795
ecoli_00052,-2.3486743937,-0.016657597
ecoli_00053,-2.6025265288,-0.015329333
ecoli_00054,-3.2614401203,-0.276530589
ecoli_00055,-2.4603343209,-0.338241102
ecoli_00056,-3.1888164618,1.014675532
ecoli_00057,-3.3673354182,0.977911822
ecoli_00058,-14.41667563,0.727420032
ecoli_00059,-14.4092863159,0.7373106620000001
ecoli_00060,-5.4411964952,0.38823240200000003
ecoli_00061,-5.4320373682,0.395184152
ecoli_00062,-11.8662190408,1.039849572
ecoli_00063,-11.6391183725,1.148814332
ecoli_00064,27.9680457203,1.6465871120000002
ecoli_00065,27.7100029779,1.759748342
ecoli_00066,28.76956028,0.7287601720000001
ecoli_00067,28.8467989908,0.573927292
ecoli_00068,-1.7061152422,-0.41096649500000004
ecoli_00070,2.5465118341,0.115747578
