,ydfH
Cr_1,-0.008352428487209086
Cr_2,-0.007683632867600042
Cr_3,-0.01286600575029004
Cr_4,-0.014570156002793062
Cr_5,-0.018109260394953967
Cr_6,-0.023911444589981217
Fe_1,-0.01902618609941948
Fe_2,-0.024274829606842668
Fe_3,-0.016485819482078067
Fe_4,-0.01115536807615836
Fe_5,0.029851380957067738
Fe_6,0.08021182276179073
Cd_1,-0.001049773691734901
Cd_2,0.00037876913501729904
Cd_3,0.0018959714494223253
Cd_4,0.006028914383508589
Cd_5,0.003916359192162679
Cd_6,0.00607731793840764
Zn_1,-0.022395144943762532
Zn_2,-0.004277445438506093
Zn_3,0.07655654008645696
Zn_4,0.0892556879480234
Zn_5,0.09708156150776633
Zn_6,0.0828486640359921
Cu_1,0.005418994974810625
Cu_2,0.0045745403522704075
Cu_3,0.001000266294210671
Cu_4,-0.004103075081339904
Cu_5,-0.0018004441989495328
Cu_6,0.0015147167185014187
Pb_1,0.004783477735357854
Pb_2,0.009191770337715212
Pb_3,0.01665518938032296
Pb_4,0.02816310215040263
Pb_5,0.03825175935620618
Pb_6,0.047264381871665664
