gene_id,USA300HOU_RS14415
name,secy2
operon,"gtf2,gtf1,seca2,asp3,asp2,asp1,secy2"
product,accessory Sec system protein translocase subunit SecY2
cog," Intracellular trafficking, secretion, and vesicular transport"
regulator(s),
link,"<a href=""https://aureowiki.med.uni-greifswald.de/SAUPAN006389000"">AureoWiki</a>"
