,A,LsrR,RpoS,Crp
R2,,0.6558282202521911,0.06888189949524359,0.00427125110511184
xmin,,-6.5610466716,-8.919357295,-9.852476477
xmid,,,-2.5558122160297883,
xmax,,6.717923932,4.1241387708,2.5388323397
ystart,,-19.53403030824386,-2.457002351486005,3.289242994596375
yend,,20.0409633163022,4.745228845436692,-0.18542005467679812
SRX1125282,1.8080032721000001,0.15681955150000002,0.12389400360000001,0.0344951212
SRX1125283,0.4859819278,-0.11827032300000001,0.0917269352,0.1435731223
SRX1125284,0.33232520200000004,-0.2309282386,0.2668871882,0.2534372822
SRX1125285,0.9693134182,-0.0416486582,0.6346371772,0.283920339
SRX1125286,0.5673447409,-0.20445795590000002,0.7311205703,0.3175329239
SRX1125287,0.32980646140000003,-0.277660006,0.047843636,0.17602055360000002
SRX1125288,0.5833587345,-0.2890779021,-0.011411859,0.005256366
SRX1125289,-0.5581689870000001,0.8840168595000001,0.1487334191,0.2819816342
SRX1125290,0.8782778598000001,0.2815894369,0.5719214457,0.2801678667
SRX1125291,0.3044213395,-0.1490201226,0.7703039475,0.4762089513
SRX1125292,0.4044347522,0.0690664773,0.9491057834000001,0.5370175003000001
SRX1125293,1.2394700514,0.3324014592,0.7949646441,0.5086233319
SRX1125294,-2.3913620066,0.13225835060000002,-0.1124821446,-0.039751487200000005
SRX1125295,0.5814856909,0.1510106144,0.0485519624,0.2905320638
SRX1125296,0.9246550967,-0.019610823000000003,0.2451175693,0.1859933018
SRX1125297,1.1160049220000001,0.12460257620000001,0.5595453177,0.3699621097
SRX1125298,0.165293401,-0.2036884531,1.0364768899,0.5483756585
SRX1125299,0.3122585805,-0.0536981278,0.7744984592,0.50143841
SRX5694250,-0.0574379215,-0.0142167482,-0.6575883396000001,-0.4516798918
SRX5694251,-2.9181228933,-1.0964680364,-0.41439528130000003,-1.8893970692000002
SRX5694252,-2.9702704492,0.41908595470000004,-1.5267586985000001,-0.1701238306
SRX5694253,0.8699557258,0.2381909999,0.013532579400000001,0.1340371706
SRX5694254,0.7368109354,-0.08388144110000001,-0.4507050045,-0.8477189713000001
SRX5694255,-4.82842631,-2.6647517669000003,-1.3699185348,0.1307715067
SRX5694256,-0.6020173157,0.0507875941,0.0290375594,-0.2340068764
SRX5694257,-1.1438084206,-0.7343724753,-0.18024768900000002,-0.33700626310000004
SRX5694258,0.5735494061,0.3541195884,-0.34416743510000003,-0.2857852433
SRX5694259,-3.6032908403,-1.7189317326,-0.4766743304,-2.9247054987
SRX5694260,0.4574799543,0.42753617200000005,0.2482267076,0.0899715865
SRX5694261,-3.0216903725,-0.6382524031,0.022944085000000003,-1.6070723407
SRX5694262,-0.9576245844000001,0.5295276189,-1.1664088354,-0.5390842036
SRX5694263,2.0220570086,0.8054202863000001,0.2455560166,-0.0980165268
SRX5694264,-2.9488618601,-1.0946176309,-0.7270261651000001,0.2016373309
SRX5694265,0.670402013,0.5363174796,0.1246632279,-0.2490351859
SRX5694267,0.32842684710000003,0.1619583282,0.17891339180000002,0.0411821817
SRX5694268,0.5144680992,0.5515029186,0.8690290136000001,0.0231238538
SRX5694269,0.6908393623,0.5906694977,0.1019266675,0.0476350313
SRX5694271,-1.6731684373,-0.12840619920000002,-0.159521414,0.24713669740000002
SRX5694273,-4.00524465,-1.3059554558,-0.7117395496000001,-1.5465123927
SRX5694274,1.1498063867,0.36128027500000004,0.2200444192,0.2066153554
SRX5694275,-0.6478735398000001,-0.5513908407,-0.24488367700000002,-0.5157335737000001
SRX5694276,-4.1562034534,-1.0277900502,-0.6076757834000001,-1.8223907651
SRX5694277,-0.4930274935,0.0645398003,0.4192586639,0.36042412560000003
SRX5694278,-1.6365274101,-0.0772794863,0.3345453216,-1.3002511837
SRX5694279,-1.0005237825,0.586568658,0.9291638342,0.3379205155
SRX5694280,-0.6404696532,-0.1745206064,0.6945469896,-0.6834405493
SRX5694281,2.8795393298,0.8217613426,0.7728686116,0.1656640608
SRX5694282,-3.5732435917,-0.48210699220000003,1.381880559,-0.9934080376000001
SRX5694283,-0.7617681665,0.1998704794,0.8471900986,-0.3443110079
SRX5694284,-2.6014234442,-0.45751761090000004,0.9445992575000001,-0.9407234058
SRX5694285,-1.9739336063000001,-0.5408337492,-0.101510944,-0.0040549861000000005
SRX5694286,-0.5480416379,-0.2101134218,-0.39254390580000004,-0.1478341465
SRX5694287,0.1336097172,0.7383343877,1.6641543512,-0.1558928562
SRX5694288,-2.9508798229,-0.9594185051,-0.6444778476,0.2764607147
SRX5694289,0.8912265376,0.37612277580000003,-0.28779240840000003,-0.14661147630000002
SRX5694290,-3.6413096992,-1.6282426516,-0.6870264622000001,0.2201400917
SRX5694291,-3.287187543,-2.6974508213,-1.3007259393,0.1874058842
SRX5694292,3.0705071231,0.5785218476,0.8062681238,0.0513472187
