,-0.134513495554695,-0.11005649636293227,-0.08559949717116955,-0.061142497979406824,-0.0366854987876441,-0.012228499595881376,0.012228499595881348,0.03668549878764407,0.061142497979406796,0.08559949717116952,0.11005649636293224,0.134513495554695,0.1589704947464577,0.1834274939382204,0.20788449312998314,0.2323414923217459,0.2567984915135086,0.2812554907052713,0.30571248989703403,0.3301694890887968
thresh,-0.14674199515057637,0.14674199515057637,6,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,40,1829,1527,37,0,0,0,0,0,0,0,0,0,0,0,0
Crp,0,0,0,0,5,224,213,10,0,0,0,0,0,0,0,0,0,0,0,0
RpoS,0,0,0,0,0,119,113,4,0,0,0,0,0,0,0,0,0,0,0,0
LsrR and Crp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
Crp and RpoS,0,0,0,0,2,31,44,4,0,0,0,0,0,0,0,0,0,0,0,0
"LsrR, Crp, and RpoS",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],[],[],['lacI' 'treB' 'dadX' 'tdcF' 'ugpA'],"['dadA' 'psuK' 'cas2' 'pncB' 'psuG' 'hyfA' 'hflC' 'chiP' 'rspA' 'caiC'
 'rbsB' 'mhpB' 'sodB' 'manZ' 'rhaD' 'trg' 'fucI' 'gltA' 'narQ' 'ychH'
 'entE' 'malM' 'hofB' 'aegA' 'fucK' 'serA' 'marB' 'nanC' 'yhcH' 'hflK'
 'hyfE' 'plaR' 'xseA' 'rhaA' 'xylE' 'malK' 'fis' 'ycdZ' 'xylB' 'hofC'
 'fucU' 'ulaD' 'melR' 'casE' 'lacY' 'ptsH' 'mokB' 'tdcC' 'mazF' 'secB'
 'pck' 'yahN' 'caiB' 'gdhA' 'hyfF' 'cstA' 'cysG' 'rbfA' 'glpA' 'cspD'
 'ygcW' 'yiaN' 'gntT' 'uxaC' 'abgR' 'gntP' 'paaD' 'glpE' 'gntU' 'hyfI'
 'mhpA' 'yfaE' 'ykgR' 'uxaB' 'ybiT' 'ansB' 'aaeX' 'gcd' 'mhpF' 'gcvH'
 'psiE' 'fecB' 'ygeA' 'ulaB' 'ugpQ' 'entB' 'araE' 'sbmC' 'yiaK' 'tnaA'
 'hyfG' 'caiT' 'agaA' 'glpT' 'aaeR' 'aaeA' 'ugpC' 'lacZ' 'cdd' 'modC'
 'dgoR' 'agp' 'hyfC' 'dctA' 'citE' 'gatC' 'infB' 'manX' 'exuT' 'cspE'
 'gpsA' 'ulaF' 'casB' 'ldtB' 'caiA' 'ntrC' 'citC' 'glpG' 'udp' 'mhpE'
 'dusB' 'nanA' 'sgbU' 'ulaE' 'hpt' 'truB' 'ygeW' 'manY' 'fecA' 'mdh'
 'gntK' 'hyfH' 'mtlR' 'gatB' 'citG' 'paaF' 'dcuA' 'manA' 'srlA' 'hyfB'
 'ugpE' 'treC' 'tdcG' 'glpD' 'caiD' 'nupC' 'srlB' 'dgoA' 'putP' 'comR'
 'entC' 'nanT' 'aaeB' 'flhC' 'rihA' 'entA' 'dgoK' 'glnA' 'marR' 'rbsC'
 'glcC' 'rmf' 'gcvT' 'kbaZ' 'nagB' 'malS' 'patZ' 'cyaA' 'paaH' 'hupA'
 'xylA' 'rbsK' 'glpR' 'ugpB' 'grcA' 'mhpC' 'zraS' 'prpD' 'lgoR' 'ompW'
 'cyoB' 'hflX' 'malX' 'yeiP' 'rhaB' 'dpiA' 'uidA' 'uxuB' 'ppiA' 'dcuR'
 'fumA' 'paaK' 'fucR' 'mazE' 'rpsO' 'feaR' 'cyoC' 'idnT' 'hicB' 'hfq'
 'sdhC' 'deoD' 'galS' 'tdcE' 'ampD' 'ppdD' 'glnL' 'trxA' 'lyxK' 'deoB'
 'nrdB' 'tdcD' 'envZ' 'melA' 'fucP' 'flhD' 'caiE' 'sdhB' 'nanK' 'prpR'
 'deoA' 'aceK' 'pnp' 'modB']","['araJ' 'sdhA' 'gatY' 'nlpE' 'tsx' 'paaI' 'hyfD' 'rbsR' 'nadC' 'ebgC'
 'rbsA' 'glpX' 'ebgA' 'fixB' 'nanM' 'fadD' 'fecC' 'ompR' 'glpQ' 'dksA'
 'srlD' 'bhsA' 'aspA' 'paaG' 'sdhD' 'rpsF' 'yeiW' 'nanS' 'mtlA' 'cas1'
 'yiaO' 'gyrA' 'rhaT' 'citD' 'sodA' 'malI' 'fecD' 'glpC' 'glpB' 'cyoD'
 'chbC' 'lamB' 'aer' 'fucA' 'modA' 'lgoD' 'agaW' 'rplM' 'ascF' 'csqR'
 'acnB' 'xylR' 'paaZ' 'bglF' 'idnR' 'relA' 'casC' 'mhpD' 'rimP' 'mlc'
 'tdcB' 'nanE' 'galP' 'fecE' 'yjhG' 'uxaA' 'raiA' 'bglB' 'dsdA' 'focB'
 'uxuR' 'rpsR' 'guaA' 'chbF' 'gatZ' 'cytR' 'hyfJ' 'yaeQ' 'prpE' 'dcuB'
 'nirC' 'entH' 'gatD' 'cpdB' 'ubiG' 'sgcQ' 'priB' 'uxuA' 'caiF' 'nagA'
 'nfuA' 'chbA' 'exuR' 'yaeP' 'malT' 'ptsG' 'rpsI' 'paaC' 'chbG' 'rbsD'
 'glpK' 'casD' 'ulaA' 'nusA' 'malY' 'paaA' 'uidC' 'cyoE' 'paaJ' 'fumB'
 'cyoA' 'fur' 'rplI' 'umpH' 'focA' 'glpF' 'rpoS' 'hupB' 'ynfK' 'serC'
 'yhfA' 'idnO' 'fiu' 'chbB' 'nagE' 'grpE' 'marA' 'nagC' 'dgoT' 'ulaC'
 'fepA' 'malE' 'hyfR' 'crp' 'mtlD' 'aldA' 'fixA' 'gutM' 'guaB' 'chiQ'
 'paaB' 'yhgH' 'arfB' 'fixC' 'aceB' 'gutQ' 'ompA' 'ampE' 'yiaL' 'sgcB'
 'casA' 'hlyE' 'argG' 'dpiB' 'rspB' 'ascB' 'idnK' 'xylH' 'dsdX' 'entD'
 'chbR' 'cirA' 'yjhH' 'zraR' 'gatA' 'nirB' 'yiaM' 'fucO' 'sgbH' 'araC'
 'sfsA' 'citF' 'srlR' 'srlE' 'feaB' 'melB' 'uidB' 'prpC' 'aroA' 'lacA'
 'agaV' 'preA' 'rof' 'deoC' 'tdcA' 'yqeF' 'mhpR' 'araB' 'cas3' 'aceA'
 'pflB' 'nirD' 'paaE' 'nrdA' 'citX' 'sgbE' 'hicA' 'preT' 'yjhI' 'ilvB'
 'bglG' 'gcvP' 'nupG' 'fadH' 'ortT' 'ptsI' 'prpB' 'sgcR' 'uhpT' 'tnaB'
 'araA' 'dgoD' 'araD']",['xylG' 'malG' 'idnD' 'sgcC' 'ilvN' 'xylF' 'malF' 'sgcE' 'sgcX' 'sgcA'],[],[],[],[],[],[],[],[],[],[],[],[]
RpoS_genes,[],[],[],[],[],"['yihG' 'yccJ' 'yffO' 'msyB' 'appY' 'pdeC' 'patA' 'rsmG' 'elaB' 'pstS'
 'znuA' 'dkgA' 'gpmA' 'artI' 'yhfG' 'hyaA' 'luxS' 'puuA' 'osmE' 'ymjE'
 'dhaK' 'poxB' 'treF' 'yehW' 'appC' 'yciG' 'ydbK' 'proV' 'artQ' 'narU'
 'hyaB' 'envC' 'csrA' 'insC-5' 'ycgZ' 'pqiC' 'phr' 'ydhT' 'pfkB' 'yehY'
 'yadS' 'mtn' 'yffP' 'setA' 'pqiB' 'frdD' 'rssB' 'csgB' 'pgi' 'yadV'
 'yhiM' 'hdeA' 'artM' 'mutS' 'gyrB' 'yciE' 'yehX' 'ldcC' 'ihfA' 'wrbA'
 'ravA' 'baeS' 'sra' 'cfa' 'hdeD' 'dhaL' 'ydbD' 'ecnB' 'dnaN' 'bolA'
 'puuP' 'yhjG' 'fic' 'gor' 'dhaM' 'xthA' 'pdeR' 'ymgA' 'ynfH' 'yddG'
 'dmsD' 'appB' 'topA' 'insI-1' 'ydcV' 'mnmG' 'rraA' 'pykF' 'htrE' 'sgrT'
 'evgA' 'yibQ' 'ygiC' 'ppk' 'viaA' 'tktB' 'bsmA' 'blc' 'alkB' 'astA'
 'hdfR' 'frdC' 'hyaC' 'gadW' 'ansP' 'ppx' 'kbp' 'ydhY' 'yggE' 'ymgC'
 'frdA' 'dps' 'mdtD' 'otsA' 'frdB' 'pcnB' 'hchA' 'astD' 'cbpM']","['hdeB' 'sodC' 'alkA' 'yafP' 'yciF' 'ihfB' 'osmF' 'ydhU' 'ddpA' 'fau'
 'mlrA' 'rsd' 'evgS' 'yabI' 'pstA' 'ydcS' 'asr' 'xapA' 'pykA' 'otsB'
 'dgcC' 'yiaG' 'glk' 'ydhW' 'proW' 'ddpX' 'yciT' 'mdtB' 'insN' 'folK'
 'proX' 'mdtC' 'ada' 'csgC' 'cbpA' 'baeR' 'artP' 'osmB' 'btuF' 'dhaR'
 'astB' 'dkgB' 'ddpF' 'pstC' 'ynfG' 'ftsA' 'recF' 'ydhV' 'insD-5' 'aidB'
 'ddpB' 'talA' 'astE' 'nhaR' 'astC' 'mdtA' 'ftsQ' 'gpmM' 'blr' 'ompN'
 'ygiB' 'ydcU' 'hyaF' 'ytfK' 'pqiA' 'yhiD' 'tpiA' 'yqiI' 'ybaT' 'yafO'
 'hmp' 'yafN' 'adhE' 'appA' 'phoU' 'pfkA' 'csgA' 'ybgA' 'xapB' 'ybjP'
 'ilvY' 'ydhX' 'ynfF' 'speG' 'ftsZ' 'ynfE' 'ydcT' 'nhaA' 'pstB' 'eno'
 'fbaB' 'rssA' 'ybiI' 'hyaE' 'speB' 'osmC' 'yciZ' 'ariR' 'hyaD' 'iraD'
 'tolC' 'ddpD' 'patD' 'uspB' 'glsA' 'ddpC' 'cpxA' 'cpxR' 'yqiH' 'dinB'
 'yeiL' 'pabA' 'murR']",['ynfB' 'pphA' 'katE' 'treA'],[],[],[],[],[],[],[],[],[],[],[],[]
