,ybbC
Cr_1,0.0027962672198785
Cr_2,0.009267204720964385
Cr_3,0.015755685800571847
Cr_4,0.011959665837238596
Cr_5,0.014661778280478302
Cr_6,0.02262807091515769
Fe_1,-0.019240171592898758
Fe_2,-0.043615146918484685
Fe_3,-0.07059041248183727
Fe_4,-0.10316765529587374
Fe_5,-0.12186122496303292
Fe_6,-0.14280569817207356
Cd_1,0.004403659745492732
Cd_2,0.004609861890664146
Cd_3,0.009849616406118651
Cd_4,0.015523250001718784
Cd_5,0.01616781563812219
Cd_6,0.01828862275967961
Zn_1,0.06348249747711639
Zn_2,0.2454048862673546
Zn_3,0.01711235083628922
Zn_4,0.1455038769678622
Zn_5,0.2162269280012261
Zn_6,0.28544179783368745
Cu_1,0.0009831906618126304
Cu_2,0.003140434594236265
Cu_3,0.010418312718102259
Cu_4,0.013124267006668008
Cu_5,0.018816470326450476
Cu_6,0.02287213755781084
Pb_1,0.01086847583738876
Pb_2,0.01923294648990392
Pb_3,0.03235424869677106
Pb_4,0.04506449734484192
Pb_5,0.0574532601621449
Pb_6,0.057145195377694274
