,marC
Cr_1,0.001043230700323321
Cr_2,-0.003810115125336002
Cr_3,0.0006531828153326937
Cr_4,0.016539942833560736
Cr_5,0.018065160948084292
Cr_6,0.020698769299472567
Fe_1,-0.02084530281893565
Fe_2,-0.0502562867547445
Fe_3,-0.07913708886308207
Fe_4,-0.10995377866861322
Fe_5,-0.1365873025346261
Fe_6,-0.15883064551132411
Cd_1,-0.00021732572861766385
Cd_2,0.0067765150416098435
Cd_3,0.011638959819065993
Cd_4,0.0127942342284753
Cd_5,0.008200557418598623
Cd_6,0.009282058729645515
Zn_1,-0.02058753973956678
Zn_2,-0.0046959989352175855
Zn_3,-0.022861257786482483
Zn_4,-0.03524195799854233
Zn_5,-0.032404597578342145
Zn_6,-0.029952137643491812
Cu_1,-0.003945539069137964
Cu_2,-0.0035525918486500733
Cu_3,0.0027015045940261373
Cu_4,0.011417370165076218
Cu_5,0.02067069582663564
Cu_6,0.027940312046832283
Pb_1,0.004705190805826832
Pb_2,0.01166023470487693
Pb_3,0.014323523916807156
Pb_4,0.018797338048449852
Pb_5,0.013880019855209392
Pb_6,0.014538730668593522
