,ycbR
Cr_1,0.0011232651729726783
Cr_2,0.003391016371866028
Cr_3,0.0035110398562549256
Cr_4,0.0015203549781851813
Cr_5,0.002769329310439381
Cr_6,0.0017935861994480082
Fe_1,-0.012207368819560343
Fe_2,-0.04297351630163066
Fe_3,-0.07586543301335448
Fe_4,-0.11276990021662847
Fe_5,-0.14351459340626485
Fe_6,-0.16379125148642776
Cd_1,0.01977628676905831
Cd_2,0.04050227729596298
Cd_3,0.05895078982695996
Cd_4,0.07870410941449889
Cd_5,0.0920380901199062
Cd_6,0.10511676028278076
Zn_1,-0.0005920097527673919
Zn_2,-0.009086081272597706
Zn_3,-0.015761204562354726
Zn_4,-0.018903547545328296
Zn_5,-0.019852482692172504
Zn_6,-0.01833560399355389
Cu_1,0.003717526950941076
Cu_2,0.005538996920050577
Cu_3,0.015103435727541819
Cu_4,0.02005121324182773
Cu_5,0.02275704708181971
Cu_6,0.025102930172402844
Pb_1,0.002833537762283184
Pb_2,0.0027056128752896394
Pb_3,0.004233205220484037
Pb_4,0.008539350772833092
Pb_5,0.021388350748576028
Pb_6,0.026591499319118774
