,helD
Cr_1,-0.00896068995360933
Cr_2,-0.0061918207136969754
Cr_3,-0.004769266785002892
Cr_4,-0.013195676612343369
Cr_5,-0.008756125519042713
Cr_6,-0.004942962709668711
Fe_1,-0.03193301399919149
Fe_2,-0.051115704516395265
Fe_3,-0.05799525435767652
Fe_4,-0.05945782372652519
Fe_5,-0.058978379819685185
Fe_6,-0.06339053149366901
Cd_1,-0.0028544384517147896
Cd_2,1.6468649743661247e-05
Cd_3,0.008166757063889609
Cd_4,0.015697407087177498
Cd_5,0.01860123426850014
Cd_6,0.018764067683038944
Zn_1,-0.0943356639025976
Zn_2,-0.09934228642291452
Zn_3,-0.16427803833874244
Zn_4,-0.21469233778746089
Zn_5,-0.13279569579576495
Zn_6,-0.11525405942964435
Cu_1,0.0114928677876657
Cu_2,0.00525401146279705
Cu_3,0.0070071619034369976
Cu_4,0.012962027191582012
Cu_5,0.01974145057547842
Cu_6,0.013735814013938709
Pb_1,-0.003345127178547789
Pb_2,0.002751585779347177
Pb_3,0.015396252574810396
Pb_4,0.0268363290581807
Pb_5,0.04295953340495904
Pb_6,0.05118607241927778
