locus,gene_weight,gene_name,old_locus_tag,gene_product,cog,regulator,RsmA,link
PA4131,0.30559177600000004,PA4131,,iron-sulfur protein,Energy production and conversion,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4131&e1=1&assembly=complete
PA4133,0.303343746,PA4133,,cbb3-type cytochrome C oxidase subunit I,Energy production and conversion,"YdcR,RsmA",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4133&e1=1&assembly=complete
PA4129,0.288912483,PA4129,,hypothetical protein,Function unknown,"YdcR,RsmA",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4129&e1=1&assembly=complete
PA4130,0.283075255,PA4130,,sulfite/nitrite reductase,Energy production and conversion,"YdcR,RsmA",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4130&e1=1&assembly=complete
PA4134,0.25644167900000003,PA4134,,hypothetical protein,No COG annotation,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4134&e1=1&assembly=complete
PA4132,0.23497626300000002,PA4132,,hypothetical protein,Transcription,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4132&e1=1&assembly=complete
PA5383,0.12529146700000002,PA5383,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5383&e1=1&assembly=complete
PA4128,0.102876771,PA4128,,2%2C4-dihydroxyhept-2-ene-1%2C7-dioic acid aldolase,Carbohydrate transport and metabolism,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4128&e1=1&assembly=complete
PA1746,0.094952615,PA1746,,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1746&e1=1&assembly=complete
