,yahM
Cr_1,0.000831415256637202
Cr_2,0.007236718433434412
Cr_3,0.023324740497222683
Cr_4,0.03964055259139136
Cr_5,0.05242163217875242
Cr_6,0.061768391044319186
Fe_1,-0.004193709510443979
Fe_2,0.003760788982889732
Fe_3,0.03337795626554763
Fe_4,0.06853551374717681
Fe_5,0.09928964030482566
Fe_6,0.12584339839994804
Cd_1,0.0063235531517258775
Cd_2,0.022063841440998853
Cd_3,0.04074195122409187
Cd_4,0.050872979130092234
Cd_5,0.05344468645419334
Cd_6,0.06367740859201265
Zn_1,-0.009330845093007124
Zn_2,-0.020311315059058668
Zn_3,-0.01931941963972212
Zn_4,-0.007267992034464005
Zn_5,-0.002819758194400889
Zn_6,-0.014042571341379113
Cu_1,0.004140758001059766
Cu_2,0.00700767559096511
Cu_3,0.008990461451479203
Cu_4,0.009947053076604472
Cu_5,0.010094934386755251
Cu_6,0.01684206666696805
Pb_1,9.167470436871692e-05
Pb_2,-0.01042062452181037
Pb_3,0.0009649912386927252
Pb_4,0.012113092914738482
Pb_5,0.02296332455582197
Pb_6,0.02830531680799154
