,yhhZ
Cr_1,-0.007421630155932889
Cr_2,-0.014467753808985738
Cr_3,-0.021261801077637383
Cr_4,-0.0293589097950204
Cr_5,-0.03570138328204255
Cr_6,-0.03988135210835013
Fe_1,-0.02817487732011955
Fe_2,-0.04926958930043617
Fe_3,-0.0649429870647002
Fe_4,-0.06764009305726305
Fe_5,-0.07806107872891799
Fe_6,-0.07863753681683308
Cd_1,-0.004827840936062631
Cd_2,-0.0028306384704146017
Cd_3,0.00011460521101097482
Cd_4,0.00883554150388885
Cd_5,0.017511693333690022
Cd_6,0.027554132025843583
Zn_1,0.0019907389123353667
Zn_2,0.004168750919228354
Zn_3,0.04080441650573142
Zn_4,0.06710907161231007
Zn_5,0.08372717530857386
Zn_6,0.08979889675046583
Cu_1,0.006449484450614306
Cu_2,0.013614111687605185
Cu_3,0.03429080436647276
Cu_4,0.04738783068061088
Cu_5,0.054452878390523235
Cu_6,0.05688464166500615
Pb_1,0.006354116717775267
Pb_2,0.015029400358514012
Pb_3,0.021121554900862902
Pb_4,0.02662842242981689
Pb_5,0.030129283297173976
Pb_6,0.03381648208054628
