,eaeH
Cr_1,-0.0028859051448475947
Cr_2,-0.00370713497597213
Cr_3,-0.00857490894113292
Cr_4,-0.009782392899791631
Cr_5,-0.0033693369675620827
Cr_6,-0.008615817266483791
Fe_1,-0.010352684598377196
Fe_2,-0.024544630368501703
Fe_3,-0.045046051410970636
Fe_4,-0.058313970141768125
Fe_5,-0.059463653149209775
Fe_6,-0.060146913223459435
Cd_1,-0.007875027211282401
Cd_2,-0.011254579150028149
Cd_3,-0.009524380055920037
Cd_4,-0.0010703531046211679
Cd_5,0.007220802330486793
Cd_6,0.0212519990501933
Zn_1,-0.012960540169694309
Zn_2,-0.017857451675310682
Zn_3,-0.020400806612958646
Zn_4,-0.02251105771101791
Zn_5,-0.02010282896197801
Zn_6,-0.010812331106431738
Cu_1,-0.0015400664270169894
Cu_2,0.006736514876123353
Cu_3,0.010827228507477523
Cu_4,0.0162974402432586
Cu_5,0.023803707519883727
Cu_6,0.02996769224635889
Pb_1,0.004258175449396134
Pb_2,0.008441497603708787
Pb_3,0.0095933351675071
Pb_4,0.017044440012038926
Pb_5,0.02532363014442095
Pb_6,0.029945410411182195
