,A,PaaX,SlyA,ihfB,Crp
R2,,0.25269749107342643,0.04133334719103343,0.038605553861735586,0.00038861143027291156
xmin,,-5.754560014500001,-1.5257480735000009,-2.3858350260000005,-9.852476477
xmid,,-4.227997829284741,,,
xmax,,2.6837120975,2.6796664345,1.6466498449999991,1.6003325529999994
ystart,,-4.005587290511666,2.517446456188814,-0.7475169789791978,1.8655754048228235
yend,,5.691736813049927,-0.9230782183960127,2.190904334386562,0.894514209263419
control__wt_glc__1,0.1286799888514228,-0.1246614905000003,-0.033335396500001835,0.08337238499999877,0.012478645999999928
control__wt_glc__2,-0.1286799888514296,0.1246614905000003,0.033335396500000065,-0.08337238500000055,-0.012478645999999928
fur__wt_dpd__1,2.433884646204131,0.06217373849999941,-0.21875742650000166,0.7158603249999995,0.07757413100000042
fur__wt_dpd__2,2.327383286587437,-0.004307654499999813,-0.14123260050000042,0.8566654449999991,-0.0906821709999992
fur__wt_fe__1,1.5809954018255958,-0.6728414344999996,-0.056885532500000835,-0.0769950650000002,-0.030513672999999738
fur__wt_fe__2,1.9298671649699577,-0.9138425464999996,-0.030777295500001856,-0.08671744500000145,0.0581907200000007
fur__delfur_dpd__1,1.4163882770615754,-0.054044076500000315,-0.2221465585000004,0.6898034449999989,-0.10598198399999957
fur__delfur_dpd__2,1.2330093258948431,-0.01758529650000007,0.2309128764999997,0.621869414999999,-0.22346684100000047
fur__delfur_fe2__1,2.915383598311593,-0.9642693585000002,0.3274070954999999,0.3658187149999996,0.4364299129999996
fur__delfur_fe2__2,2.634944530919937,-0.8297661014999997,0.3072606804999989,0.33581042499999825,0.36756339300000107
acid__wt_ph5__1,1.6313948970179206,0.03770425849999981,0.007250436499999678,0.2842574349999989,0.3455225730000002
acid__wt_ph5__2,1.4475201005424947,0.08597431650000154,0.028601091499998788,0.3016573449999989,0.34313646300000045
acid__delgadx_ph5__2,0.2364312236411193,0.1227578084999994,-0.0008106565000005618,0.03620512499999862,0.3393877130000007
