locus,gene_weight,gene_name,gene_product,cog,regulator,RsmA,link
PA4131,0.303042808,PA4131,iron-sulfur protein,Energy production and conversion,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4131&e1=1&assembly=complete
PA4129,0.2946477308,PA4129,hypothetical protein,Function unknown,"YdcR,RsmA",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4129&e1=1&assembly=complete
PA4133,0.2818658738,PA4133,cbb3-type cytochrome C oxidase subunit I,Energy production and conversion,"YdcR,RsmA",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4133&e1=1&assembly=complete
PA4130,0.2771588238,PA4130,sulfite/nitrite reductase,Energy production and conversion,"YdcR,RsmA",True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4130&e1=1&assembly=complete
PA4132,0.23838357940000002,PA4132,hypothetical protein,Transcription,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4132&e1=1&assembly=complete
PA4134,0.2346632276,PA4134,hypothetical protein,No COG annotation,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4134&e1=1&assembly=complete
PA5383,0.1356522215,PA5383,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA5383&e1=1&assembly=complete
PA4128,0.1003246223,PA4128,2%2C4-dihydroxyhept-2-ene-1%2C7-dioic acid aldolase,Carbohydrate transport and metabolism,RsmA,True,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA4128&e1=1&assembly=complete
PA1746,0.0892169587,PA1746,hypothetical protein,Function unknown,,False,https://www.pseudomonas.com/primarySequenceFeature/list?strain_ids=107&term=Pseudomonas+aeruginosa+PAO1+%28Reference%29&c1=name&v1=PA1746&e1=1&assembly=complete
