,yciC
Cr_1,-0.006422083707541062
Cr_2,0.0006799493995878778
Cr_3,0.007592235004282878
Cr_4,0.01468411256174233
Cr_5,0.019449738072499945
Cr_6,0.019817459631855217
Fe_1,0.03499585095433757
Fe_2,0.04052431338523691
Fe_3,0.09593333939400348
Fe_4,0.09450041471428773
Fe_5,0.02590580290390855
Fe_6,-0.00951242501539295
Cd_1,-0.0024031643467311192
Cd_2,-0.0031558669291712337
Cd_3,-0.002984962215819605
Cd_4,3.508453756546989e-05
Cd_5,-0.004637909634956847
Cd_6,0.0009161153751342877
Zn_1,-0.005129736790602556
Zn_2,-0.004828344811452173
Zn_3,-0.01686206934309923
Zn_4,-0.014071137943312365
Zn_5,-0.01603211645646458
Zn_6,-0.012257968387913768
Cu_1,0.013404540963480054
Cu_2,0.026679704597690986
Cu_3,0.022239445867758237
Cu_4,0.019029429579691084
Cu_5,0.021124739637154524
Cu_6,0.026413207174125455
Pb_1,0.0077156710603462405
Pb_2,0.012662546966364477
Pb_3,0.014693856885236457
Pb_4,0.015675740504129985
Pb_5,0.029651408409219718
Pb_6,0.04397942383584999
