,ychJ
Cr_1,0.0002784608277714379
Cr_2,-0.0002674684250832065
Cr_3,0.002028006713828351
Cr_4,-0.0056105728980001225
Cr_5,-0.01712758243866622
Cr_6,-0.02485303004941183
Fe_1,-0.01878872188637237
Fe_2,-0.0299048412068426
Fe_3,-0.022564689180097148
Fe_4,-0.018682484491629358
Fe_5,-0.007972661450655562
Fe_6,0.011387207485474652
Cd_1,0.0012065292452496244
Cd_2,0.0032944570600213787
Cd_3,0.0015185891897943615
Cd_4,0.0007117615930034728
Cd_5,-0.001317522228512533
Cd_6,0.003370504199366125
Zn_1,-0.037060470029114966
Zn_2,-0.07061231356944356
Zn_3,-0.05542564583182298
Zn_4,-0.07785001599888333
Zn_5,-0.09116706211308537
Zn_6,-0.1005948804034509
Cu_1,0.004526801552024901
Cu_2,0.010533450742426564
Cu_3,0.01389166351149792
Cu_4,0.01753192980906583
Cu_5,0.02526998168498024
Cu_6,0.03222641018967052
Pb_1,0.002203236549238269
Pb_2,0.0054348875516319756
Pb_3,0.01413296552990536
Pb_4,0.011327745798442193
Pb_5,0.01226413592181308
Pb_6,0.015314261083751056
