,A,LsrR,RpoS,Crp
R2,,0.8256365500038851,0.1462622529463582,0.0010837528604182856
xmin,,-2.7717785305,-2.479313904,-9.852476477
xmid,,0.117805026735585,,
xmax,,5.3114550715,3.009075552,1.6003325529999999
ystart,,-1.0422358544229746,-3.5102900312605723,3.1205215190185074
yend,,25.725012740276767,5.845012633608242,1.1536925655400627
control__wt_glc__1,0.1400135575,0.1441717345,-0.049727751,0.012478646000000001
control__wt_glc__2,-0.1400135575,-0.1441717345,0.049727751,-0.012478646000000001
fur__wt_dpd__1,3.9818934167,0.5989620595,1.650326502,0.077574131
fur__wt_dpd__2,4.1536265055,0.6021668145,1.6437026920000002,-0.090682171
fur__wt_fe__1,0.1463063084,0.2645931125,-0.22947255900000002,-0.030513673
fur__wt_fe__2,0.5243060202000001,0.0719321975,-0.271725376,0.05819072
fur__delfur_dpd__1,3.2342907894,-0.0374620335,1.527195722,-0.105981984
fur__delfur_dpd__2,2.5957236217,0.2996755425,1.238544582,-0.22346684100000003
fur__delfur_fe2__1,0.9749075828,0.4461445315,0.6013075320000001,0.436429913
fur__delfur_fe2__2,1.3040308579,0.30252162650000003,0.622610922,0.367563393
acid__wt_ph5__1,0.8302386234,0.2205017555,0.177302749,0.345522573
acid__wt_ph5__2,0.9539035371000001,0.6951245015,0.18070148100000002,0.343136463
acid__delgadx_ph5__2,0.8301550894,0.4677980285,0.041918445000000006,0.33938771300000004
acid__delgadw_ph5__1,1.2628932986999999,0.46692506650000004,0.132946996,0.383863793
acid__delgadw_ph5__2,1.0440563646,0.3166112855,0.028727889000000003,0.33986178300000003
acid__delgade_ph5__1,1.0578380058,0.4201627415,0.245873005,0.43240872300000005
acid__delgade_ph5__2,1.2737148154,0.3305233735,0.353677022,0.482436193
oxidative__wt_pq__1,3.9600473857000003,1.2092751515,2.449326732,0.17662370300000002
oxidative__wt_pq__2,3.4895611315,1.0328742575,2.150239472,0.24038529300000003
oxidative__deloxyr_pq__1,1.4550740818,1.3116562975,1.918683632,0.513155013
oxidative__deloxyr_pq__2,2.2044230459,1.1161026355,1.875718832,0.536337303
oxidative__delsoxr_pq__1,3.3894961909,0.8278422715,2.174649812,0.334672533
oxidative__delsoxr_pq__2,3.8884410798999998,0.5495007605000001,2.132365622,0.387059873
oxidative__delsoxs_pq__1,4.7847716998,1.0216092025,2.427061572,0.513462963
oxidative__delsoxs_pq__2,4.3076741419,1.0102846905,2.475274892,0.5104807530000001
nac_ntrc__wt_csn__1,2.6986384393,0.8632106465,1.849426562,-0.07279683
nac_ntrc__wt_csn__2,2.3919883715,0.7158529715,1.826245562,-0.093243951
