,-0.0997085205875,-0.0815796986625,-0.06345087673750001,-0.04532205481250001,-0.027193232887500016,-0.009064410962500019,0.009064410962499977,0.027193232887499988,0.04532205481249997,0.06345087673749995,0.08157969866249996,0.09970852058749997,0.11783734251249996,0.13596616443749993,0.15409498636249996,0.17222380828749995,0.19035263021249993,0.2084814521374999,0.2266102740624999,0.24473909598749993
thresh,-0.10877293155000001,0.10877293155000001,6,,,,,,,,,,,,,,,,,
unreg,0,0,2,16,185,1658,1398,149,18,5,2,0,0,0,0,0,0,0,0,0
Crp,0,0,1,5,25,186,192,31,6,6,0,0,0,0,0,0,0,0,0,0
RpoS,0,0,0,1,13,100,106,16,0,0,0,0,0,0,0,0,0,0,0,0
Crp and LsrR,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Crp and RpoS,0,0,0,1,5,29,36,5,2,2,1,0,0,0,0,0,0,0,0,0
"Crp, LsrR, and RpoS",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,3,0,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
Crp_genes,[],[],['treB'],['treC' 'galP' 'ygcW' 'chbC' 'ebgC'],"['glpQ' 'melR' 'crp' 'psuK' 'agaW' 'paaI' 'psiE' 'gntT' 'paaG' 'fucP'
 'mhpF' 'mhpD' 'bglB' 'fixB' 'xylE' 'bglG' 'hflC' 'rspA' 'glpT' 'dadX'
 'yhcH' 'gutM' 'citD' 'caiT' 'gltA']","['lacZ' 'rspB' 'exuT' 'glpR' 'hflK' 'tdcF' 'hupA' 'entD' 'rhaD' 'uidC'
 'gyrA' 'guaB' 'zraS' 'yiaM' 'citE' 'xylB' 'feaR' 'hofB' 'dadA' 'gntU'
 'fecD' 'marA' 'cstA' 'fucI' 'caiD' 'glpG' 'gcd' 'xylA' 'fucK' 'priB'
 'cirA' 'rplI' 'ykgR' 'guaA' 'mhpA' 'glpX' 'fecA' 'glpC' 'nanK' 'lamB'
 'pck' 'aegA' 'nfuA' 'mokB' 'hflX' 'hyfE' 'nanT' 'chbF' 'abgR' 'hicA'
 'aer' 'rpsR' 'cysG' 'glpE' 'fucR' 'bhsA' 'rbsB' 'nrdB' 'hyfR' 'sgbE'
 'yeiP' 'yqeF' 'hyfH' 'paaJ' 'umpH' 'mlc' 'fecB' 'citF' 'yfaE' 'zraR'
 'aroA' 'dgoT' 'yeiW' 'ygeW' 'yhgH' 'srlB' 'manZ' 'rihA' 'dcuA' 'casA'
 'rpsI' 'ldtB' 'gdhA' 'malE' 'deoD' 'cas3' 'hpt' 'grcA' 'sdhB' 'galS'
 'hyfB' 'ansB' 'rpsO' 'acnB' 'ptsH' 'rbsR' 'rpoS' 'paaH' 'manX' 'patZ'
 'chbB' 'relA' 'tdcD' 'rpsF' 'idnK' 'xseA' 'nrdA' 'fiu' 'ulaB' 'idnT'
 'uxuR' 'idnD' 'fucU' 'nupG' 'serC' 'rplM' 'yaeP' 'caiA' 'glcC' 'marR'
 'manY' 'fepA' 'trxA' 'citC' 'pnp' 'cyoA' 'malI' 'agp' 'sdhD' 'glpB'
 'idnR' 'rhaA' 'envZ' 'yiaK' 'paaK' 'nanA' 'gcvH' 'cytR' 'malK' 'sgbU'
 'ulaE' 'uxaB' 'pncB' 'aaeX' 'cspE' 'serA' 'ychH' 'mhpE' 'nlpE' 'malY'
 'ubiG' 'chbG' 'tdcE' 'hfq' 'sdhC' 'hofC' 'nagE' 'ascB' 'exuR' 'modC'
 'yhfA' 'ascF' 'ampD' 'lgoD' 'hyfG' 'lyxK' 'lacY' 'aldA' 'ugpQ' 'yahN'
 'raiA' 'ompR' 'modA' 'paaB' 'gcvT' 'sodB' 'gatB' 'cyaA' 'nadC' 'ugpC'
 'hyfC' 'lacA' 'aspA' 'dgoR' 'ampE' 'ynfK']","['sdhA' 'rbsA' 'aaeR' 'deoB' 'marB' 'entE' 'glpF' 'gatC' 'lgoR' 'nupC'
 'malM' 'agaA' 'rof' 'fis' 'ortT' 'dcuR' 'cyoD' 'glpA' 'agaV' 'fucO'
 'hyfD' 'fecC' 'entC' 'ugpA' 'hupB' 'caiE' 'chiP' 'chbA' 'ppdD' 'entB'
 'xylR' 'citG' 'hyfI' 'sbmC' 'cyoB' 'srlR' 'manA' 'yaeQ' 'caiB' 'hyfJ'
 'nagB' 'mazF' 'fumA' 'fixA' 'ugpE' 'casB' 'srlA' 'uxaC' 'citX' 'nagA'
 'malX' 'grpE' 'ntrC' 'rbsD' 'ugpB' 'secB' 'glnA' 'deoA' 'ulaA' 'psuG'
 'dpiA' 'ompA' 'dusB' 'argG' 'mhpC' 'uxaA' 'nagC' 'sodA' 'dctA' 'cyoE'
 'gatY' 'nanS' 'dsdA' 'cpdB' 'prpE' 'aceA' 'gatZ' 'tnaA' 'chbR' 'yiaL'
 'nirD' 'narQ' 'tdcC' 'uhpT' 'mhpR' 'trg' 'ybiT' 'arfB' 'araE' 'tdcA'
 'caiC' 'melA' 'sgbH' 'ulaD' 'cas2' 'kbaZ' 'dpiB' 'fecE' 'mdh' 'rbfA'
 'dgoK' 'fur' 'nusA' 'csqR' 'aceK' 'nirB' 'malT' 'plaR' 'nirC' 'ycdZ'
 'mazE' 'nanE' 'cspD' 'srlD' 'ulaF' 'gcvP' 'gutQ' 'xylH' 'nanM' 'dksA'
 'rhaT' 'nanC' 'ygeA' 'truB' 'rhaB' 'prpB' 'preA' 'malS' 'hicB' 'infB'
 'preT' 'feaB' 'paaC' 'caiF' 'dsdX' 'glpK' 'aceB' 'paaZ' 'sfsA' 'araJ'
 'gntK' 'entA' 'aaeA' 'tdcB' 'dcuB' 'cyoC' 'mhpB' 'glnL' 'chiQ' 'paaF'
 'tsx' 'malG' 'ebgA' 'casD' 'flhD' 'rbsK' 'focB' 'fadH' 'srlE' 'ilvB'
 'rimP' 'fumB' 'ptsG' 'araC' 'ilvN' 'cdd' 'fucA' 'idnO' 'dgoA' 'rbsC'
 'gatA' 'ppiA' 'sgcR' 'fixC' 'deoC' 'paaD' 'paaA' 'casC' 'focA' 'yiaO'
 'mtlA' 'aaeB' 'cas1' 'gntP' 'entH' 'gpsA' 'yiaN' 'hyfF' 'uidA' 'xylF'
 'tdcG' 'malF']","['flhC' 'prpC' 'prpD' 'modB' 'mtlD' 'casE' 'bglF' 'lacI' 'dgoD' 'prpR'
 'uidB' 'yjhG' 'comR' 'xylG' 'ulaC' 'hyfA' 'melB' 'paaE' 'mtlR' 'pflB'
 'gatD' 'rmf' 'udp' 'yjhI' 'yjhH' 'putP' 'glpD' 'uxuA' 'uxuB' 'ompW'
 'fadD']",['sgcE' 'araD' 'sgcQ' 'araB' 'araA' 'sgcB'],['sgcX' 'hlyE' 'tnaB' 'sgcC' 'ptsI' 'sgcA'],[],[],[],[],[],[],[],[],[],[]
RpoS_genes,[],[],[],['sgrT'],"['yehY' 'ymgA' 'patA' 'yffO' 'dhaK' 'narU' 'ravA' 'yddG' 'yehW' 'ydhU'
 'insC-5' 'viaA' 'gor']","['poxB' 'puuA' 'hdeD' 'osmF' 'htrE' 'dhaL' 'appB' 'ynfE' 'proX' 'ddpC'
 'dhaM' 'artI' 'yibQ' 'yehX' 'ytfK' 'frdB' 'otsA' 'ddpX' 'otsB' 'ydhX'
 'ecnB' 'artM' 'gpmM' 'evgS' 'yciT' 'folK' 'envC' 'xapA' 'hyaA' 'artQ'
 'luxS' 'blr' 'treF' 'dmsD' 'frdA' 'phr' 'ydhT' 'ybiI' 'rraA' 'ariR'
 'cbpM' 'yhfG' 'ygiC' 'yqiI' 'cfa' 'ydbD' 'ynfH' 'yhiM' 'ygiB' 'ybgA'
 'talA' 'pdeR' 'nhaA' 'ydhY' 'mdtC' 'frdD' 'znuA' 'yggE' 'frdC' 'ymjE'
 'yciG' 'ddpA' 'pfkB' 'pqiC' 'appA' 'mtn' 'mdtB' 'topA' 'blc' 'cpxA'
 'ompN' 'ddpD' 'gyrB' 'yihG' 'pcnB' 'yadV' 'appC' 'yafN' 'dkgA' 'tktB'
 'mdtD' 'yciZ' 'evgA' 'ilvY' 'yadS' 'ycgZ' 'cbpA' 'rsmG' 'dnaN' 'bolA'
 'baeR' 'ftsQ' 'pstA' 'ftsA' 'mutS' 'nhaR' 'speG' 'ada' 'setA' 'pstC']","['pqiB' 'proW' 'astA' 'ldcC' 'osmB' 'baeS' 'gadW' 'recF' 'yhjG' 'xthA'
 'yafO' 'gpmA' 'kbp' 'katE' 'appY' 'ihfA' 'insN' 'pgi' 'tolC' 'osmE'
 'xapB' 'pphA' 'dgcC' 'hdeA' 'glk' 'ddpB' 'mlrA' 'hyaF' 'puuP' 'yhiD'
 'uspB' 'ppx' 'pdeC' 'yafP' 'yiaG' 'ydhW' 'dinB' 'proV' 'artP' 'yccJ'
 'ydhV' 'dhaR' 'aidB' 'csgB' 'mnmG' 'yqiH' 'fic' 'phoU' 'hyaB' 'mdtA'
 'rsd' 'pqiA' 'ihfB' 'iraD' 'elaB' 'adhE' 'yabI' 'asr' 'alkA' 'ydbK' 'dps'
 'pabA' 'csgC' 'yciE' 'alkB' 'bsmA' 'pstS' 'insD-5' 'hdeB' 'btuF' 'hdfR'
 'rssA' 'astD' 'speB' 'pykF' 'hchA' 'ymgC' 'fbaB' 'msyB' 'tpiA' 'ppk'
 'ansP' 'astB' 'csrA' 'murR' 'pykA' 'ybjP' 'cpxR' 'rssB' 'yciF' 'pfkA'
 'patD' 'ddpF' 'wrbA' 'astE' 'ydcV' 'ynfB' 'pstB' 'ynfG' 'ftsZ' 'osmC'
 'dkgB' 'ynfF' 'ydcS' 'insI-1' 'yffP']","['hyaD' 'yeiL' 'eno' 'csgA' 'hmp' 'ydcT' 'hyaC' 'fau' 'ybaT' 'ydcU' 'sra'
 'astC' 'hyaE' 'treA' 'sodC' 'glsA']",[],[],[],[],[],[],[],[],[],[],[],[]
Crp and LsrR_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],['lsrR' 'lsrK'],[],[],[],[],[],[]
Crp and RpoS_genes,[],[],[],['crr'],['aceE' 'aceF' 'mglB' 'pdhR' 'mglA'],"['metK' 'mglC' 'gadX' 'glgS' 'ompF' 'mpl' 'rpoH' 'osmY' 'gabD' 'lpd'
 'lhgO' 'gabT' 'mdtE' 'rseD' 'mdtF' 'epd' 'gltD' 'gadA' 'glgP' 'rpoE'
 'puuR' 'sucA' 'puuB' 'csiD' 'csgF' 'murQ' 'gadE' 'murP' 'gadB']","['puuD' 'glgC' 'oxyR' 'puuC' 'btsT' 'rseA' 'hofM' 'sohB' 'gabP' 'rseC'
 'gadC' 'galM' 'rseB' 'glgA' 'gapA' 'gltB' 'acnA' 'csgG' 'sucB' 'sucC'
 'speC' 'fumC' 'hofN' 'csgE' 'sucD' 'gltF' 'puuE' 'proP' 'rhaR' 'fbaA'
 'csiE' 'galE' 'galK' 'csgD' 'pgk' 'hofO']",['rhaS' 'acs' 'galT' 'yjcH' 'araH'],['actP' 'fadL'],['aldB' 'araG'],['araF'],[],[],[],[],[],[],[],[],[]
"Crp, LsrR, and RpoS_genes",[],[],[],[],[],[],[],['tam'],[],[],[],[],[],[],[],['lsrD' 'lsrC' 'lsrG'],[],['lsrF' 'lsrA' 'lsrB'],[],[]
