,ydhZ
Cr_1,0.005481347015749121
Cr_2,0.00926690349028484
Cr_3,0.012826659367004221
Cr_4,0.012863643120551906
Cr_5,0.011214737654467791
Cr_6,0.00709282178186893
Fe_1,-0.033448890588471634
Fe_2,-0.061073173847620926
Fe_3,-0.08858274854899552
Fe_4,-0.12766559148794648
Fe_5,-0.14050831808548211
Fe_6,-0.14152497168614256
Cd_1,0.003236849444912255
Cd_2,0.008198615681623188
Cd_3,0.011796701315018077
Cd_4,0.013411686260818284
Cd_5,0.0091984215207133
Cd_6,0.012113246035306821
Zn_1,-0.011785118765845657
Zn_2,-0.017849066038963232
Zn_3,-0.020281768182379104
Zn_4,-0.01929826208625833
Zn_5,-0.017546853260985328
Zn_6,-0.019654281798188226
Cu_1,0.003269975033152848
Cu_2,0.005038697375940026
Cu_3,0.008868080875518198
Cu_4,0.008330655381315295
Cu_5,0.007995728106875506
Cu_6,0.0078029626375141796
Pb_1,0.015850963484002358
Pb_2,0.023241182445834358
Pb_3,0.03135117939782844
Pb_4,0.04146809892341807
Pb_5,0.049888265311821896
Pb_6,0.059027809161182915
