,cydD
Cr_1,0.0011872215762975234
Cr_2,0.005274288296636493
Cr_3,0.010640379652881936
Cr_4,0.01270707852799918
Cr_5,0.013560647887333958
Cr_6,0.01463748984824274
Fe_1,-0.009208181771599726
Fe_2,-0.01856776093744492
Fe_3,-0.01923089647733796
Fe_4,-0.02336276719215616
Fe_5,-0.0260061280935994
Fe_6,-0.028511236079454088
Cd_1,-0.0014773437137235825
Cd_2,0.0005655804429516128
Cd_3,0.0022710311457711943
Cd_4,0.004767242101122463
Cd_5,0.0038593236170078376
Cd_6,0.005989065693846246
Zn_1,0.004603706223754106
Zn_2,0.009361205960591241
Zn_3,0.013264798131537263
Zn_4,0.02422427997485636
Zn_5,0.03973678609065909
Zn_6,0.04617812857454687
Cu_1,-0.0025357851824220263
Cu_2,-0.003392715009133308
Cu_3,-0.0061895247917441425
Cu_4,-0.012201580227269462
Cu_5,-0.013095786420282285
Cu_6,-0.010787284874137059
Pb_1,0.00033314845065324445
Pb_2,2.8767013914939192e-05
Pb_3,0.0008595958342457991
Pb_4,0.0026018145969005702
Pb_5,0.005852911801966777
Pb_6,0.009883485787096462
