,pdxB
Cr_1,-0.004529389443099574
Cr_2,-0.008752840675933396
Cr_3,-0.004596517436388901
Cr_4,0.006998545452803028
Cr_5,0.018260992804375674
Cr_6,0.024124554579872597
Fe_1,-0.020173511227403424
Fe_2,-0.04053077351350887
Fe_3,-0.05351848473108604
Fe_4,-0.06144954762480896
Fe_5,-0.06411791617176299
Fe_6,-0.0675665293905887
Cd_1,0.004825624528681643
Cd_2,0.011394541847033892
Cd_3,0.015006030309062526
Cd_4,0.017877730261182608
Cd_5,0.011445267926480616
Cd_6,0.012823289799754127
Zn_1,-0.01884962798286396
Zn_2,-0.024740296502847068
Zn_3,-0.016924810553076524
Zn_4,-0.005873280453557519
Zn_5,0.011079059211255777
Zn_6,0.024499511075182348
Cu_1,-0.0070922745737610595
Cu_2,-0.008639246810243006
Cu_3,-0.008114578793849744
Cu_4,-0.002764728829041964
Cu_5,-0.0006301266749993452
Cu_6,0.0002331728172005806
Pb_1,0.0029304631148300464
Pb_2,0.002606975981036959
Pb_3,0.015437355058776109
Pb_4,0.009983513904234914
Pb_5,0.022212863894676912
Pb_6,0.039124006189269936
