,-0.30071089820617125,-0.25775219846243247,-0.2147934987186937,-0.1718347989749549,-0.12887609923121612,-0.08591739948747734,-0.04295869974373856,2.220446049250313e-16,0.042958699743739004,0.08591739948747779,0.12887609923121657,0.17183479897495535,0.21479349871869413,0.2577521984624329,0.3007108982061717,0.3436695979499105,0.38662829769364926,0.42958699743738804,0.4725456971811268,0.5155043969248656
thresh,-0.32219024807804064,0.32219024807804064,1,,,,,,,,,,,,,,,,,
unreg,0,0,0,0,5,13,113,2051,106,4,1,2,0,0,0,0,0,0,1,0
unreg_genes,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['fadR'],[]
