,ynbA
Cr_1,-0.005225275994916247
Cr_2,-0.00688381939445047
Cr_3,0.0035807950571599798
Cr_4,0.016576836892327713
Cr_5,0.02611187634417577
Cr_6,0.022329336744630456
Fe_1,0.00526110392150472
Fe_2,-0.007644744038401139
Fe_3,-0.01926850072930225
Fe_4,-0.041585084112276655
Fe_5,-0.05680289952681782
Fe_6,-0.06578434782376093
Cd_1,0.0018937749175708374
Cd_2,0.0015418012965387848
Cd_3,0.006448885213227326
Cd_4,0.008322959069491705
Cd_5,0.0073257383198205685
Cd_6,0.011545562264958656
Zn_1,-0.028515257232544212
Zn_2,-0.057658173358616886
Zn_3,-0.09018787318035662
Zn_4,-0.10872571288372238
Zn_5,-0.10692274893917827
Zn_6,-0.1080877392451816
Cu_1,0.0025196399316365923
Cu_2,0.007477024988320236
Cu_3,0.015247525471321025
Cu_4,0.023273028878627363
Cu_5,0.03304976408216817
Cu_6,0.0436388703418696
Pb_1,0.005695211782828796
Pb_2,0.0010561852286828798
Pb_3,0.005892808468293329
Pb_4,0.017686965993084083
Pb_5,0.025866983201069785
Pb_6,0.034218906498256214
