,A,Nac
R2,,0.25994844505202097
xmin,,-4.725505623
xmid,,2.3778036091571657
xmax,,8.132852124639204
ystart,,0.07701863969952072
yend,,16.639924642860528
control__wt_glc__1,0.1115977659743875,-0.12201272600000035
control__wt_glc__2,-0.1115977659743927,0.12201272599999945
fur__wt_dpd__1,-1.3260849565137018,-1.6999142799999998
fur__wt_dpd__2,-1.5440496175737892,-1.938769955
fur__wt_fe__1,0.7035740027357861,0.5235308730000003
fur__wt_fe__2,0.5691045076478213,0.25748753199999985
fur__delfur_dpd__1,-0.262493313605817,-1.6025365280000001
fur__delfur_dpd__2,-0.3979227057109736,-1.724549783
fur__delfur_fe2__1,0.2936042724804931,-0.7173395530000004
fur__delfur_fe2__2,0.1539974654410847,-0.8082979190000001
acid__wt_ph5__1,-1.6629716083888435,-0.7414509709999999
acid__wt_ph5__2,-1.4378149281923551,-0.5250578890000002
acid__delgadx_ph5__2,-0.728779217667008,-0.5473652200000005
acid__delgadw_ph5__1,-0.7568778832869285,-0.6070672230000005
acid__delgadw_ph5__2,-0.9907152294011098,-0.5113484609999999
acid__delgade_ph5__1,-1.149834932038699,-0.3920578079999997
acid__delgade_ph5__2,-1.3863929034876454,-0.5747283149999998
oxidative__wt_pq__1,-0.8148743912995132,-1.44188698
oxidative__wt_pq__2,-1.0801627101395537,-1.4679998530000002
oxidative__deloxyr_pq__1,-1.2562155009357354,-1.541611591
oxidative__deloxyr_pq__2,-1.0302168863169994,-1.328150785
oxidative__delsoxr_pq__1,-1.4777277133909552,-2.395016924
oxidative__delsoxr_pq__2,-1.122370404294924,-1.948205151
oxidative__delsoxs_pq__1,-0.6375721562338217,-1.627599484
oxidative__delsoxs_pq__2,-0.4760293320166447,-1.2686930530000002
nac_ntrc__wt_csn__1,17.21567256820288,7.520987127000001
nac_ntrc__wt_csn__2,17.385354558824762,7.504085217
nac_ntrc__wt_cytd__1,17.38008625916078,7.005102877000001
nac_ntrc__wt_cytd__2,17.45163326832856,7.055380746999999
nac_ntrc__wt_gln__1,21.10353474204241,7.640281806999999
nac_ntrc__wt_gln__2,20.58503457698316,7.552225147000001
nac_ntrc__bw_delnac_csn__1,-7.642689376101685,-4.725505623
nac_ntrc__bw_delnac_csn__2,-9.123740585730609,-4.725505623
nac_ntrc__bw_delnac_cytd__1,-6.887923655458333,-4.5702274869999995
nac_ntrc__bw_delnac_cytd__2,-6.729201450710439,-4.725505623
nac_ntrc__bw_delnac_gln__1,-8.124439009103314,-4.725505623
nac_ntrc__bw_delnac_gln__2,-7.834524625659671,-4.0256203589999995
nac_ntrc__bw_delnac_nh4__1,-3.97776026663646,-4.725505623
nac_ntrc__bw_delnac_nh4__2,-3.6414949134349417,-4.725505623
misc__wt_no_te__1,-1.1475795962315616,-1.39616496
misc__wt_no_te__2,-1.5032279625303275,-1.23681461
misc__bw_delcbl__1,-0.3754912236219407,-0.7578401820000003
misc__bw_delcbl__2,-0.1895517616234868,-0.5660527709999998
misc__bw_delfabr__1,-1.07762183616895,-0.9718758310000002
misc__bw_delfabr__2,-0.8177658681677531,-0.7947751559999999
misc__bw_delfadr__1,-0.9327423016337698,-1.680478966
misc__bw_delfadr__2,-0.1840023786839791,-1.264995389
misc__nitr_031__1,12.491696086360529,6.552016787
omics__wt_glu__1,0.9489871234558488,-0.8991021470000002
omics__wt_glu__2,0.7336595085576539,-0.7923307610000001
omics__wt_gly__1,2.368246818963724,2.5423363780000003
omics__wt_gly__2,2.273115672341665,2.498725851
omics__wt_thr__1,1.468331340907722,1.3115100649999991
omics__wt_thr__2,1.775731030396435,1.5566133540000004
omics__bw_ac__1,2.447969671024284,-2.000452962
omics__bw_ac__2,3.449340287982417,-1.525135401
omics__bw_fum__1,1.6436523969737566,-1.824287104
omics__bw_fum__2,1.5916999402633747,-1.9698050319999998
omics__bw_glc__1,-0.5578121080787156,-0.5067959450000004
omics__bw_glc__2,-0.8055139007176387,-0.4377561990000007
omics__bw_pyr__1,1.7949241467134558,-1.7601444369999997
omics__bw_pyr__2,3.2949366203723685,-1.31210616
ompr__wt_nacl__1,0.3015596986269063,-1.4928138299999998
ompr__wt_nacl__2,0.3018927585831157,-1.181235928
ompr__bw_delompr_nacl__1,1.072562404350967,-1.5956915830000002
ompr__bw_delompr_nacl__2,0.6871359729897525,-1.5304097740000002
minspan__wt_ade__1,0.3581442911760398,-0.956261935
minspan__wt_glc__2,0.2175393160121667,-1.083873052
minspan__wt_glc__3,0.0644925613111183,-0.9017149630000004
minspan__wt_glc__4,-0.3418997874307743,-1.2417775470000003
minspan__wt_glc_anaero__1,-1.7441123000143408,-2.095165457
minspan__wt_glc_anaero__2,-3.707330164146661,-1.911124331
minspan__wt_trp__1,1.1066972515982427,-0.084408861
minspan__bw_delcra_glc__2,0.2891827854399098,-0.3597729110000003
minspan__bw_delcra_trp__1,1.6115820510299923,0.575442271
minspan__bw_delmntr__1,-1.2234501655374082,0.048987218999999804
minspan__bw_delnac_ade__1,-1.53709931643445,-4.725505623
minspan__bw_delnac_glc__1,-1.4509077500356349,-4.430515828
cra_crp__wt_ac__1,4.579656200928187,-1.6374726750000002
cra_crp__wt_ac__2,5.144510581889128,-1.3526600930000001
cra_crp__wt_fru__1,2.8428501877051264,-1.3747324399999998
cra_crp__wt_fru__2,3.178777199447733,-1.1746008210000003
cra_crp__delcra_ac__1,2.3980553650683274,-1.6384419959999998
cra_crp__delcra_ac__2,1.9566622565643468,-1.96445885
cra_crp__delcra_fru__1,-1.5535007347419727,-0.9699533260000002
cra_crp__delcra_fru__2,-1.3152353739208005,-1.0780827420000003
cra_crp__delcra_glc__1,-1.3180103100254508,-1.0685590109999998
cra_crp__delcra_glc__2,-1.812217519872808,-1.005362379
rpoB__wt_031__1,9.269191201047631,4.863024771999999
rpoB__wt_044__1,6.425412302249368,5.019825410999999
rpoB__wt_lb__1,5.597867527872598,-2.23039253
rpoB__wt_lb__2,5.341617200511701,-2.187601614
rpoB__rpoBE546V_031__1,12.031295357296408,6.050529496999999
rpoB__rpoBE546V_044__1,12.841699719196232,5.9914303470000005
rpoB__rpoBE546V_lb__1,3.9626321744324695,-2.644579213
rpoB__rpoBE546V_lb__2,4.086130611201328,-2.5774129400000003
rpoB__rpoBE546V_glc__1,-0.8955176878686956,-0.017047329999999583
rpoB__rpoBE672K_glc__1,0.2668562800129156,-0.1628037710000001
rpoB__rpoBE672K_glc__2,-0.1974420227143627,-0.06283523400000046
rpoB__rpoBE672K_lb__1,0.6148389549694269,-4.273104867
rpoB__rpoBE672K_lb__2,0.7382473555495755,-3.294696074
crp__wt_fru__1,1.5971702108860109,-1.419126774
crp__wt_glyc__1,1.4852493991117657,-2.3313759419999998
crp__wt_glyc__2,2.1074005100607054,-1.835190648
crp__delar1_glyc__1,-1.0857423026571047,-1.111878346
crp__delar1_glyc__2,-0.7354754974161593,-0.8678945680000001
crp__delar1ar2_glyc__1,-1.3120445861869874,-2.018645712
crp__delar1ar2_glyc__2,-1.2712550163061271,-2.08533772
crp__delar1ar2_glyc__3,-1.0419230021056023,-2.057777957
crp__delar2_glyc__1,2.3611478937424555,-1.25134123
crp__delar2_glyc__2,2.3439935911840792,-1.502031525
crp__delar2_glyc__3,1.7504058813551908,-1.4152992760000005
crp__delcrp_fru__1,-1.6037588580735846,-1.214525928
crp__delcrp_fru__2,-2.3077404558427155,-1.7707292640000003
crp__delcrp_fru__3,-1.8222484138557904,-1.398485756
crp__delcrp_glc__1,-2.6748393603566445,-1.7701991730000002
crp__delcrp_glc__2,-2.634720362873959,-1.94036139
crp__delcrp_glc__3,-1.746505248272743,-1.5314177950000003
crp__delcrp_glyc__1,-2.5745831910705177,-1.899223153
crp__delcrp_glyc__2,-2.8707898909115124,-2.037462752
crp__delcrp_glyc__3,-2.963151887634696,-2.379560199
glu__glu_ale3__1,-4.075242107305029,-2.00322572
glu__glu_ale4__1,-3.888889642931298,-2.776772561
glu__glu_ale5__1,-1.0607031773966198,-1.8220111419999998
glu__glu_ale6__1,-1.7216417276900484,-1.691231525
glu__glu_ale8__1,-4.248225720323953,-2.1928749350000003
glu__glu_ale9__1,-3.108393621518937,-2.229247024
glu__glu_ale10__1,-3.4159107643052824,-1.7786922680000001
42c__wt_42c__1,-1.651394135948166,-1.627217185
42c__42c_ale1__1,-3.8384498876342543,-1.9661183010000003
42c__42c_ale2__1,-3.870887221532093,-2.434200137
42c__42c_ale3__1,-3.7107631619371,-1.388438963
42c__42c_ale4__1,-3.118813069504063,-1.4455377319999998
42c__42c_ale5__1,-2.846847716520984,-2.218732645
42c__42c_ale6__1,-3.9536761392617263,-2.336357608
42c__42c_ale8__1,-5.118624858566167,-1.972562557
42c__42c_ale9__1,-2.909212213534943,-1.634243945
42c__42c_ale10__1,-2.8203643124813103,-1.891036626
ssw__wt_ac__1,2.166960877214032,-1.611062371
ssw__wt_glc__1,-0.821201555672866,-1.4404867760000002
ssw__wt_glyc__1,2.8934035715800777,-0.8652279559999999
ssw__wt_xyl__1,-0.1029547447623433,-1.020020557
ssw__glc_ale1__1,-0.5079765956856561,-1.550488041
ssw__glc_ale2__1,-1.0314279305089706,-1.301002387
ssw__glc_ale3__1,-2.89787537813203,-0.15318652499999974
ssw__glyc_ale1__1,-1.26014752982955,-1.61000612
ssw__glyc_ale2__1,-2.208568630840332,-0.21536180699999985
ssw__xyl_ale1__1,0.269900867697416,-1.057384247
ssw__xyl_ale2__1,-1.0418662758923394,-1.3706280790000005
ssw__xyl_ale3__1,-1.3786210830984669,-0.4241108349999996
ssw__glc_ac_ac2__1,-0.1673073607194752,0.03647866599999983
ssw__glc_ac_glc1__1,-1.479749465015075,-1.197447021
ssw__glc_glyc_glc__1,-1.389768906975788,-1.447102569
ssw__glc_glyc_glyc__1,-0.2005611793613669,-2.3477333259999997
ssw__glc_xyl_glc__1,-2.2875621760483345,-2.0891365420000003
ssw__glc_xyl_xyl__1,-1.676655936689995,-2.203921866
ica__wt_glc__1,-0.2262888208814201,-0.9555554380000002
ica__wt_glc__2,-0.2846440654842146,-0.8959232159999999
ica__wt_glc__3,-2.3574533665465247,-2.363106781
ica__wt_glc__4,-1.5381586944940566,-2.299437015
ica__arg_sbt__1,2.1231860653631087,-2.018927597
ica__arg_sbt__2,1.7518004985218112,-2.280914596
ica__cytd_rib__1,8.031275072422446,-1.7286624330000002
ica__cytd_rib__2,8.67236748742391,-1.395007403
ica__gth__1,0.2187631434245503,-1.4200168030000002
ica__gth__2,-0.1120007738135868,-1.5130612710000002
ica__leu_glcr__1,0.7490155432436195,-2.194850953
ica__leu_glcr__2,0.576845925347918,-2.5542239319999998
ica__met_glc__1,0.2382683594444588,-1.7982902260000002
ica__met_glc__2,-0.182993324469028,-1.820060655
ica__no3_anaero__1,-2.67949535775411,-1.06351416
ica__no3_anaero__2,-2.3004481697170607,-1.054864589
ica__phe_acgam__1,-1.144264863607268,-2.4621680759999998
ica__phe_acgam__2,-1.284449788501223,-2.1913860780000003
ica__thm_gal__1,1.1594609118702983,-1.912876777
ica__thm_gal__2,0.9038454800524892,-2.233467799
ica__tyr_glcn__1,-0.6157596011099878,-2.585959623
ica__tyr_glcn__2,-1.0611061472645558,-2.44707641
ica__ura_pyr__1,1.0162836971101104,-2.070522785
ica__ura_pyr__2,1.4994118283797837,-2.1226938740000003
ica__wt_glc__5,-1.7791565326592496,-2.2576210519999997
ica__wt_glc__6,-1.95129698802242,-2.2476970620000003
ica__bw_delpurR_cytd__1,-1.7264589967896304,-2.312968621
ica__bw_delpurR_cytd__2,-1.715259574989067,-2.6943289310000003
ica__ade_glc__1,-1.996696070503472,-2.346077737
ica__ade_glc__2,-1.1493557606160616,-2.023073819
ytf__wt_glc__1,0.2849620460087593,0.16950489999999974
ytf__wt_glc__2,0.0821424901985683,0.13060047000000008
ytf__delyafC__1,0.9955337057603202,1.6565648190000006
ytf__delyafC__2,0.7565049202090316,1.0616932170000002
ytf__delyeiE__1,0.9984055575877524,1.0297754120000002
ytf__delyeiE__2,0.7535492099847646,-0.9418051950000002
ytf__delyiaJ__1,0.2312818894523557,0.008804778000000013
ytf__delyiaJ__2,1.0082081671636434,-0.1974883759999999
ytf__delyieP__1,-0.430887283083981,0.14221416899999986
ytf__delyieP__2,0.2703325107769722,0.3016108050000001
ytf__wt_ph5__1,0.2895091396203409,0.33163179900000017
ytf__wt_ph5__2,0.5387205395480575,0.35297229900000016
ytf__wt_ph8__1,-0.3278416212339422,-1.5446660019999998
ytf__wt_ph8__2,-1.0688668719468737,-1.806470039
ytf__delybaO__1,1.3113059332867505,0.9057456469999998
ytf__delybaO__2,0.7871677522147548,0.9039755830000002
ytf__delybaQ__1,-0.1617913482952103,-0.7358852470000001
ytf__delybaQ__2,-0.4580499264184103,-0.84652233
ytf__delybiH__1,0.0504950014051957,-0.15739248400000072
ytf__delybiH__2,-0.2462962590843354,-0.1459878219999995
ytf__delydcI_ph5__1,0.261826269402899,1.081453561
ytf__delydcI_ph5__2,0.218438371770676,1.0222210570000003
ytf__delydcI_ph8__1,-1.5560901846761448,-2.070954701
ytf__delydcI_ph8__2,-1.1353395883060942,-2.07481487
ytf__delyddM__1,-0.5047978116737628,-1.219589188
ytf__delyddM__2,-1.1938248398799924,-1.4136933110000005
ytf__delyheO__1,0.6897888971596244,0.32833632500000043
ytf__delyheO__2,-0.4408978763650636,0.15588773899999975
fps__bw_glc__1,0.178028363443833,-1.3582333869999998
fps__bw_glc__2,0.1572713285905065,-0.978424822
fps__fps_thrA_ale1__1,-0.0775780347045153,-1.6834281299999998
fps__fps_thrA_ale1__2,0.0118659305405645,-1.0520701900000002
fps__fps_thrA_ale2__1,-0.4117898505195678,-2.162587055
fps__fps_thrA_ale2__2,-0.6865405339642697,-1.695667234
fps__fps_serB_ale1__1,-0.1598217863916957,-2.020706613
fps__fps_serB_ale1__2,-0.0719914311787107,-1.6340128210000002
fps__fps_serB_ale4__1,-0.2623278205094276,-1.5732601229999998
fps__fps_serB_ale4__2,-0.0838230671769381,-1.229323861
fps__fps_ptsI_ale1__1,4.560756529681135,-1.786929587
fps__fps_ptsI_ale1__2,4.2350022418378055,-1.7341974419999997
fps__fps_ptsI_ale3__1,3.8010278289517503,-1.982608663
fps__fps_ptsI_ale3__2,3.826880116765083,-2.023838102
pal__lyx_ale2_f6__1,5.083858193393083,-1.492832946
pal__lyx_ale2__1,3.8359770697313262,-1.883665835
pal__lyx_ale2__2,2.8761427189203683,-1.806268681
pal__lyx_ale4__1,2.994436547973367,-2.0565742719999998
pal__lyx_ale4__2,2.778140510109975,-2.019620365
pal__5drib_ale10_f18__1,3.524289459534471,-0.4537855010000005
pal__5drib_ale10_f18__2,3.201668282802384,-0.6361437580000002
pal__5drib_ale10__1,0.6488540833975496,-0.4114969249999998
pal__arab_ale14_f9__1,2.443183870836272,-1.4949090440000001
pal__arab_ale14_f9__2,1.7894359152342176,-1.354573366
pal__arab_ale14__1,-0.1453152154785006,-1.627068555
pal__arab_ale14__2,0.4319477019053477,-2.1324341970000003
pal__arab_ale16__1,0.2951259532749165,0.2433712720000001
pal__arab_ale16__2,1.440493551817778,-0.2657485099999999
pal__tartr_ale26_f10__1,2.984121222973808,-0.908682335
pal__tartr_ale26_f10__2,4.2498555540206375,-1.356490184
pal__tartr_ale26__1,2.6796725731588693,-1.9084213780000001
pal__tartr_ale26__2,2.072625485773787,-1.5716821469999998
pal__tartr_ale28_f10__1,4.6417607526018925,-1.4233943030000002
pal__tartr_ale28_f10__2,3.864200273874373,-0.980608439
pal__tartr_ale28__1,1.3326907160650223,-1.4071498
pal__tartr_ale28__2,0.444392669306985,-1.8942561330000005
efeU__delmenFentC_citr__1,-0.2674496984273675,-0.1457844469999996
efeU__delmenFentC_citr__2,-0.3622899194957732,-0.22694596400000044
efeU__delmenFentC__1,0.2088820699517915,-1.820377016
efeU__delmenFentC__2,0.2011825701336923,-1.42185722
efeU__menFentC_ale39__1,-1.46183139485435,-0.991280421
efeU__menFentC_ale39__2,-1.624903229060561,-1.0488215090000002
efeU__menFentC_ale29__1,-3.1096941867185928,-1.572485066
efeU__menFentC_ale29__2,-2.944990403576092,-1.4279266780000002
efeU__menFentC_ale30__1,-0.8899055466959765,-1.325788372
efeU__menFentC_ale30__2,-1.7219038686614063,-1.911597016
efeU__menFentCubiC_ale36__1,-1.479704865513628,-1.6222008199999998
efeU__menFentCubiC_ale36__2,-1.095567972681965,-1.7660818690000002
efeU__menFentCubiC_ale37__1,-1.1588231788544725,-1.285758096
efeU__menFentCubiC_ale37__2,-1.184063212580867,-1.232647401
efeU__menFentCubiC_ale38__1,-1.1190294797327924,-1.4777465480000005
efeU__menFentCubiC_ale38__2,-1.2262561407736796,-1.5138569850000003
misc2__salc_glc__1,-1.8440826864785569,-0.4997185890000004
misc2__salc_glc__2,-3.464338585113192,-1.4869887040000005
misc2__dbcn_glc__1,-3.420853487490596,-2.770332727
misc2__dbcn_glc__2,-3.3256067890512657,-3.247913347
misc2__tyr_glc__1,-2.1243364403683374,-2.201766166
misc2__tyr_glc__2,-1.882520004643695,-1.8508287560000003
misc2__arg_cytd__1,-1.86722926301006,-2.7406723139999998
misc2__arg_cytd__2,-1.8311050915825755,-1.973612932
misc2__delyheO_pyr__1,2.111406768903107,-1.396271108
misc2__delyheO_pyr__2,2.19424974772197,-1.4403978830000002
misc2__dellon_glc__1,-3.116754866355945,-1.3296871959999998
misc2__dellon_glc__2,-2.5655715272797397,-1.054080899
nquinone__delubiC__1,-2.2043683296691423,-2.444293789
nquinone__delubiC__2,-1.9367786303278784,-2.027146531
nquinone__ubiC_ale1__1,-1.045024667353124,-1.6562872869999998
nquinone__ubiC_ale1__2,-0.5324040283533571,-1.496025201
nquinone__ubiC_ale2__1,-0.8961925801820896,-1.5551476860000002
nquinone__ubiC_ale2__2,-1.0086360941005013,-1.8661799590000008
nquinone__ubiC_ale3__1,-1.298861981272546,-2.241205935
nquinone__ubiC_ale3__2,-1.808331272533913,-2.6205333580000003
nquinone__ubiC_ale4__1,-0.8687821118540405,-1.919867666
nquinone__ubiC_ale4__2,-0.6381573249347643,-1.5201614890000001
nquinone__delpdhR__1,1.0278080693390603,0.9977503870000001
nquinone__delpdhR__2,0.7144137438210579,0.8734748299999993
quinone__glu_ale4__1,-3.28440710489816,-2.699766705
quinone__glu_ale4__2,-3.427903742676609,-2.553309664
quinone__delmenF__1,-0.2053276482967107,-0.09628543100000007
quinone__delmenF__2,-0.169538021725495,-0.8498989709999999
quinone__menF_ale5__1,-1.4454594485222714,-1.247637534
quinone__menF_ale5__2,-1.5547484676313692,-1.5627276909999999
quinone__menF_ale6__1,-1.1268766223948974,-1.465059359
quinone__menF_ale6__2,-1.1039132579509188,-1.6547814229999998
quinone__menF_ale7__1,-0.3972024078892794,-1.3757783360000002
quinone__menF_ale7__2,-0.2349772592930392,-1.374426005
quinone__menF_ale8__1,-2.0219485094086265,-0.8407915130000001
quinone__menF_ale8__2,-1.6249113812512106,-0.5174515840000007
quinone__delmenFubiC__1,-1.305990022074829,-1.553374985
quinone__delmenFubiC__2,-1.2128624304826026,-1.370391717
quinone__menFubiC_ale1__1,-1.220175498928174,-0.23697979100000044
quinone__menFubiC_ale1__2,-1.2787487742429533,-0.1783624589999997
quinone__menFubiC_ale2__1,-1.1387672023967506,-1.407876384
quinone__menFubiC_ale2__2,-1.0114321360442773,-1.592102074
quinone__menFubiC_ale3__1,-2.0508904147672182,-1.5609682059999999
quinone__menFubiC_ale3__2,-1.6147416980283356,-1.455880616
quinone__menFubiC_ale4__1,-0.7351588282051195,-0.8513130800000002
