,kdtA
Cr_1,0.005967535876517403
Cr_2,0.016670146105333048
Cr_3,0.03042433990577515
Cr_4,0.040894381209988034
Cr_5,0.052207485561432
Cr_6,0.06367013528802183
Fe_1,-0.0005299346221247393
Fe_2,0.027521782847713026
Fe_3,0.0868296363476081
Fe_4,0.13949697115276047
Fe_5,0.18972433635755576
Fe_6,0.2357100922541969
Cd_1,0.00047076158443727753
Cd_2,0.0009588303882141473
Cd_3,0.00421854084638249
Cd_4,0.007545631846941531
Cd_5,0.008898077148535612
Cd_6,0.018453455693933585
Zn_1,0.0013079038214147698
Zn_2,0.004788979012239032
Zn_3,0.010889954488884836
Zn_4,0.012068182607945713
Zn_5,0.013278522175411232
Zn_6,0.013798089551451112
Cu_1,0.004864833443826877
Cu_2,0.015684119062531816
Cu_3,0.03245730676919177
Cu_4,0.048234315553764916
Cu_5,0.063474162322017
Cu_6,0.08362417575228474
Pb_1,0.003103118034872297
Pb_2,0.009483524269691308
Pb_3,0.01898496611245577
Pb_4,0.0222049915823842
Pb_5,0.02299358906034561
Pb_6,0.03039662970903185
