,-0.031826967799337136,0.0,0.031826967799337136,0.06365393559867427,0.09548090339801141,0.12730787119734854,0.15913483899668568,0.19096180679602281,0.22278877459535995,0.2546157423946971,0.2864427101940342,0.31826967799337136,0.3500966457927085,0.38192361359204563,0.41375058139138277,0.4455775491907199,0.47740451699005704,0.5092314847893942,0.5410584525887313,0.5728854203880684
thresh,-0.047740451699005704,0.047740451699005704,2,,,,,,,,,,,,,,,,,
unreg,56,4091,45,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ArgR,6,24,11,7,2,2,0,0,3,2,2,1,1,0,0,0,0,0,0,0
unreg_genes,[],[],[],['caiF' 'asnA'],[],['dtpD' 'xynR'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
ArgR_genes,['yffB' 'astC' 'dps' 'astA' 'hchA' 'stpA'],"['astD' 'ykgA' 'astE' 'astB' 'rimP' 'aroP' 'mukE' 'eutS' 'dacC' 'waaA'
 'pfkB' 'yaaU' 'pnp' 'nusA' 'infB' 'ftsZ' 'rbfA' 'rpsO' 'truB' 'aroK'
 'puuB' 'gltP' 'gltF' 'lrp']","['gltD' 'pyrL' 'lysO' 'cvpA' 'gltB' 'yfcC' 'ydgI' 'yraQ' 'argR' 'potF'
 'yhcC']",['artM' 'hisP' 'artQ' 'artP' 'artI' 'hisJ' 'hisM'],['hisQ' 'carB'],['argE' 'carA'],[],[],['argD' 'argH' 'argG'],['artJ' 'argB'],['argA' 'argF'],['argC'],['argI'],[],[],[],[],[],[],[]
