,A,ArgR
R2,,0.2949393418678462
xmin,,-2.144254386500001
xmid,,-1.0739448100374385
xmax,,1.3668425964999995
ystart,,-9.615080125199224
yend,,3.4430937649280873
control__wt_glc__1,-0.1501362655034681,0.05075930549999974
control__wt_glc__2,0.1501362655035293,-0.05075930550000063
fur__wt_dpd__1,-8.292249347290346,-0.3664174665000006
fur__wt_dpd__2,-10.63911021313443,-0.4930214824999997
fur__wt_fe__1,2.2334930770165946,0.05400346250000077
fur__wt_fe__2,1.8250389797221265,-0.04618901950000076
fur__delfur_dpd__1,-6.943343693249843,-0.3382780744999989
fur__delfur_dpd__2,-5.900092819074859,0.09071013249999993
fur__delfur_fe2__1,-0.734967027603008,0.15099246649999998
fur__delfur_fe2__2,-0.6794982831166331,0.09616436849999843
acid__wt_ph5__1,-1.895620228654154,0.003994819499999025
acid__wt_ph5__2,-1.7018313462342305,-0.14488361050000176
acid__delgadx_ph5__2,-2.674806336495058,-0.2302637385000006
acid__delgadw_ph5__1,-1.6233237375764316,-0.27071291050000035
acid__delgadw_ph5__2,-1.835752085965545,-0.0523427785000008
acid__delgade_ph5__1,-1.787521294213564,0.004285744499998856
acid__delgade_ph5__2,-1.751596998937603,-0.0843681105000007
oxidative__wt_pq__1,-14.750160133694898,-2.024111090500001
oxidative__wt_pq__2,-14.647643225953304,-1.9649067465000003
oxidative__deloxyr_pq__1,-14.660304287695748,-2.144254386500001
oxidative__deloxyr_pq__2,-14.498241953987185,-1.9937029845000005
oxidative__delsoxr_pq__1,-14.676204999182604,-1.6942918225000003
oxidative__delsoxr_pq__2,-14.628422520966318,-1.4974323185000005
oxidative__delsoxs_pq__1,-14.560205621577389,-1.5551114945000002
oxidative__delsoxs_pq__2,-14.960990145612309,-1.7893038835000006
nac_ntrc__wt_csn__1,-2.2549063306727684,-0.2651524685000002
nac_ntrc__wt_csn__2,-2.0404002427726566,-0.21118748249999972
nac_ntrc__wt_cytd__1,-2.98189321320136,-0.6201035685000003
nac_ntrc__wt_cytd__2,-3.423128446007901,-0.6315113055000019
nac_ntrc__wt_gln__1,-11.346914129121137,-0.2881005855000005
nac_ntrc__wt_gln__2,-11.017736540043984,-0.3745141065000013
nac_ntrc__bw_delnac_csn__1,-3.738858019493315,-0.3229435805000005
nac_ntrc__bw_delnac_csn__2,-3.011585119536412,-0.17050425450000084
nac_ntrc__bw_delnac_cytd__1,0.9714297578265818,0.0970504554999998
nac_ntrc__bw_delnac_cytd__2,1.370167596595716,-0.028544839500000307
nac_ntrc__bw_delnac_gln__1,-8.77943493479355,-0.43602070450000063
nac_ntrc__bw_delnac_gln__2,-8.743550191869181,-0.2398506524999995
nac_ntrc__bw_delnac_nh4__1,0.2355685168171219,0.08729391149999978
nac_ntrc__bw_delnac_nh4__2,0.0651926227357755,0.18094997349999886
misc__wt_no_te__1,-11.249274593338988,-0.8139267645000006
misc__wt_no_te__2,-4.332155582153475,-0.2490448855000018
misc__bw_delcbl__1,0.6243459681369103,0.4736725784999986
misc__bw_delcbl__2,0.841876415371857,0.5979141934999994
misc__bw_delfabr__1,2.333789873332796,0.4671901644999998
misc__bw_delfabr__2,2.448452905885392,0.3567640624999999
misc__bw_delfadr__1,-0.9266145954360344,0.34985527949999984
misc__bw_delfadr__2,-0.900740229751,0.4320707464999991
misc__nitr_031__1,-2.486838406909575,0.11801348250000032
omics__wt_glu__1,-1.6834724509749928,0.07775839750000024
omics__wt_glu__2,-1.336487206792158,-0.3431920065000007
omics__wt_gly__1,0.1661246738744627,0.16693799049999924
omics__wt_gly__2,0.5041249431642618,0.20684182549999972
omics__wt_thr__1,-2.658394280789904,0.8390331404999998
omics__wt_thr__2,-1.9601149931871056,1.0767904665000003
omics__bw_ac__1,-2.986834872624728,-0.1745985775000003
omics__bw_ac__2,-3.1156520974774136,-0.1371776725
omics__bw_fum__1,-2.274857892094484,0.4584736775000007
omics__bw_fum__2,-2.343879752920433,0.4651216614999996
omics__bw_glc__1,-2.201541230121436,0.4813351104999999
omics__bw_glc__2,-2.001315034401709,0.3772651584999984
omics__bw_pyr__1,-1.5743425952677796,0.5328954714999998
omics__bw_pyr__2,-1.1045197552243378,0.5970096255000001
ompr__wt_nacl__1,-11.787902568327532,-1.1277331135000006
ompr__wt_nacl__2,-11.850339370072756,-1.4043552655000004
ompr__bw_delompr_nacl__1,-0.4525545567553209,-0.7433166465000012
ompr__bw_delompr_nacl__2,-0.6682014775140724,-0.6446723505000005
minspan__wt_ade__1,-6.819509424969783,-0.25531916550000044
minspan__wt_glc__2,-0.6391338806924953,0.1878600644999988
minspan__wt_glc__3,-0.7765641425823648,0.16328968549999878
minspan__wt_glc__4,-0.2213346983226009,0.2759520114999994
minspan__wt_glc_anaero__1,-6.394002131551012,0.08407980149999973
minspan__wt_glc_anaero__2,-5.712629715892617,-0.06686791950000083
minspan__wt_trp__1,-4.293650351997973,0.7240651964999998
minspan__bw_delcra_glc__2,-0.7078895531016205,0.5827976274999997
minspan__bw_delcra_trp__1,0.7769599970937285,0.7530561584999997
minspan__bw_delmntr__1,-5.994774178809569,-0.13458379850000046
minspan__bw_delnac_ade__1,-10.741761617225244,-1.0475890425000003
minspan__bw_delnac_glc__1,-7.290789375535579,-0.21793849250000008
cra_crp__wt_ac__1,-3.570859057841336,-0.03649965850000037
cra_crp__wt_ac__2,-3.6559279026113,-0.1785230465000005
cra_crp__wt_fru__1,-3.1882195106975786,-0.4349803545000004
cra_crp__wt_fru__2,-3.768857000965791,-0.2769685735000005
cra_crp__delcra_ac__1,-7.45387169788906,0.14372167049999973
cra_crp__delcra_ac__2,-7.364682042232492,-0.02298623350000017
cra_crp__delcra_fru__1,-2.992273862979063,-0.14943870450000052
cra_crp__delcra_fru__2,-3.306747915689461,-0.16895883249999955
cra_crp__delcra_glc__1,-0.0937214953936683,-0.23386482550000046
cra_crp__delcra_glc__2,-0.3170447922186452,-0.15025967750000024
rpoB__wt_031__1,-4.323505340737938,-0.04861947550000068
rpoB__wt_044__1,-1.330703488510009,-0.07003185850000015
rpoB__wt_lb__1,-14.001864414020057,-0.7284372405000008
rpoB__wt_lb__2,-14.25897636411745,-0.6172550545000002
rpoB__rpoBE546V_031__1,-1.7692669345805114,0.09894211149999954
rpoB__rpoBE546V_044__1,-1.605111221662732,0.3643430604999995
rpoB__rpoBE546V_lb__1,-14.262895368373409,-0.36225438850000025
rpoB__rpoBE546V_lb__2,-14.186871781439848,-0.31985195249999965
rpoB__rpoBE546V_glc__1,0.8996766955779095,0.3821898104999999
rpoB__rpoBE672K_glc__1,-0.8905726131084536,-0.44688693550000025
rpoB__rpoBE672K_glc__2,-0.774458725918401,-0.5513768365000011
rpoB__rpoBE672K_lb__1,-15.657655613266876,-0.5466027765000012
rpoB__rpoBE672K_lb__2,-15.249834190304403,-0.5404248095000002
crp__wt_fru__1,-0.099508791353234,-0.012745283500000149
crp__wt_glyc__1,2.580772194930504,-0.4857418835000002
crp__wt_glyc__2,2.3234009957868453,-0.4689610355000005
crp__delar1_glyc__1,-3.2198153851742592,0.5238023734999988
crp__delar1_glyc__2,-6.839960183944727,0.6571407654999994
crp__delar1ar2_glyc__1,0.0024466713625028,-0.8271601435000004
crp__delar1ar2_glyc__2,-0.5689856151327107,-0.7644260124999995
crp__delar1ar2_glyc__3,-0.532228738969306,-0.6955491585000004
crp__delar2_glyc__1,-7.406335201415881,-0.2568205335
