Title,<i>E. Coli</i> PRECISE
Organism,<i>Escherichia Coli</i> K-12
Strain,MG1655 and BW25113
Publication,"<a href=""https://www.nature.com/articles/s41467-019-13483-w"">Sastry, et al., 2019</a>"
