,rrnG
Cr_1,0.00332094207536947
Cr_2,0.0007623483803220306
Cr_3,0.0032515031382334466
Cr_4,0.0005229728248073263
Cr_5,-0.0052141802118529
Cr_6,-0.006623828656554915
Fe_1,-0.008965141535288403
Fe_2,-0.021933074667530868
Fe_3,-0.022776457674758808
Fe_4,-0.014504389964980413
Fe_5,-0.005090946098343785
Fe_6,0.007680382635172064
Cd_1,-0.02817741140310895
Cd_2,-0.04925958933248818
Cd_3,-0.062856909914057
Cd_4,-0.06327544517446834
Cd_5,-0.03188061033732155
Cd_6,0.028296225618061176
Zn_1,-0.0021107228441036557
Zn_2,-0.0016904836514514785
Zn_3,0.009506943800685579
Zn_4,0.01619373001680218
Zn_5,0.02169788266170235
Zn_6,0.02957411927499421
Cu_1,-0.0036294442628791185
Cu_2,-0.005668912297699146
Cu_3,-0.0055073925142169
Cu_4,-0.0047445381351399725
Cu_5,-0.0017298985553918153
Cu_6,0.0018108242015559047
Pb_1,0.002853964716547098
Pb_2,0.00496560638653731
Pb_3,0.016071501210100463
Pb_4,0.021812437097225038
Pb_5,0.03093860670543718
Pb_6,0.0389439926988208
