,ucpA
Cr_1,-0.008050028731577149
Cr_2,-0.009459495104045566
Cr_3,-0.003416611128559608
Cr_4,0.004444949297412965
Cr_5,0.006380930945292514
Cr_6,0.0038950484526400703
Fe_1,-0.006493485904639985
Fe_2,-0.006605265411428229
Fe_3,-0.0013024340397278765
Fe_4,-0.003740604502500007
Fe_5,-0.0026390866180839518
Fe_6,-0.0005951522757324688
Cd_1,0.007873512888580684
Cd_2,0.005541815438919897
Cd_3,0.013213832737662669
Cd_4,0.02657688713821681
Cd_5,0.030485618601248637
Cd_6,0.04177318574400808
Zn_1,-0.018760850466528298
Zn_2,-0.014045380396975577
Zn_3,-0.008089611267504015
Zn_4,0.009442069134863756
Zn_5,0.03434771198935065
Zn_6,0.06429521705667972
Cu_1,0.005544328082113948
Cu_2,0.01210527122059812
Cu_3,0.027552665445554337
Cu_4,0.04379423207288397
Cu_5,0.054719116801789855
Cu_6,0.061429507042031185
Pb_1,0.0077269998589170425
Pb_2,0.018522958266688143
Pb_3,0.029302068156283206
Pb_4,0.046572310289226565
Pb_5,0.047597343064551136
Pb_6,0.05332499528119722
