locus,gene_weight,gene_name,gene_product,cog,operon,regulator,FruR,link
PN96_RS21195,0.2886914251339683,fruB,fused PTS fructose transporter subunit IIA/HPr protein,Carbohydrate transport and metabolism,Op1612,FruR,True,
PN96_RS21200,0.2818842592786637,fruK,1-phosphofructokinase,Coenzyme transport and metabolism,Op1612,FruR,True,
PN96_RS21205,0.2462482845598995,fruA,PTS fructose transporter subunit IIBC,Carbohydrate transport and metabolism,Op1612,FruR,True,
PN96_RS20685,0.1256610494840666,PN96_RS20685,FdhF/YdeP family oxidoreductase,Energy production and conversion,Op1463,,False,
PN96_RS21190,0.1152217183480747,FruR,catabolite repressor/activator,Transcription,Op1610,FruR,True,
