,glyU
Cr_1,0.0017500001841151654
Cr_2,0.006539558872770949
Cr_3,0.016406617546719095
Cr_4,0.01856088210558543
Cr_5,0.03005589997100605
Cr_6,0.027116678505440483
Fe_1,-0.14927304790441287
Fe_2,-0.10284462975588264
Fe_3,-0.10672843360041906
Fe_4,-0.09131271545039674
Fe_5,-0.09107958585850487
Fe_6,-0.0862609559635423
Cd_1,0.0046936774696217645
Cd_2,0.013636670912513138
Cd_3,0.018626475075074717
Cd_4,0.031829020201891954
Cd_5,0.039135890001103436
Cd_6,0.04839802111548165
Zn_1,-0.006752866188663127
Zn_2,-0.01614124528294729
Zn_3,-0.00162708989482576
Zn_4,0.01470918411229578
Zn_5,0.03313980538908716
Zn_6,0.04707900336831792
Cu_1,0.004126168532459496
Cu_2,0.009004173064362419
Cu_3,0.018157984210520117
Cu_4,0.018604401018148232
Cu_5,0.030521151379305705
Cu_6,0.04810016686924662
Pb_1,0.002557632505623243
Pb_2,0.0016801447996733045
Pb_3,0.0006329494802221226
Pb_4,-0.0016983873076193677
Pb_5,0.004861913494061201
Pb_6,0.004333903591887222
