,yieE
Cr_1,-0.0012848090892526773
Cr_2,0.0052594435605346
Cr_3,0.016216010138601758
Cr_4,0.029727652647881037
Cr_5,0.04109048920630386
Cr_6,0.06224603469703696
Fe_1,0.0005786527725535076
Fe_2,-0.023300352214087
Fe_3,-0.06377934693939348
Fe_4,-0.11350361156101248
Fe_5,-0.1530877646244126
Fe_6,-0.18919833747181294
Cd_1,0.0016616845245339296
Cd_2,0.00042767407621517015
Cd_3,0.0003613919445098712
Cd_4,0.0013562806173263895
Cd_5,-0.0003503485043353885
Cd_6,0.002600648125379887
Zn_1,-0.011570019576547422
Zn_2,-0.013958899562038024
Zn_3,-0.014727793941357271
Zn_4,-2.8318253844667494e-05
Zn_5,0.016499265824363802
Zn_6,0.03978028796539015
Cu_1,0.0303132718822194
Cu_2,0.0643020169764377
Cu_3,0.0912322326120173
Cu_4,0.08583371401131845
Cu_5,0.07839651287717364
Cu_6,0.07415125905833005
Pb_1,0.011690001298336064
Pb_2,0.02592396407128786
Pb_3,0.033895074271217615
Pb_4,0.040527445529637024
Pb_5,0.05367272611805801
Pb_6,0.06448333867342804
