,tktA
Cr_1,0.006761243669921349
Cr_2,0.018516322307477417
Cr_3,0.02836223983271717
Cr_4,0.034373002882781625
Cr_5,0.0435185764808003
Cr_6,0.05079830931392762
Fe_1,-0.0034150721222347947
Fe_2,-0.006319508775348151
Fe_3,-0.0020174664457897245
Fe_4,0.009159932112111637
Fe_5,0.01992312862473404
Fe_6,0.03097611402333149
Cd_1,-0.0010473672964622905
Cd_2,0.000735861223187995
Cd_3,-0.00026426820663097444
Cd_4,-0.001621292441502368
Cd_5,-0.003193058850844593
Cd_6,0.003638495811352088
Zn_1,-0.00288554869037827
Zn_2,0.0026088364066273093
Zn_3,0.00658473429535936
Zn_4,0.01637069877841876
Zn_5,0.02128859192413665
Zn_6,0.027550425135664424
Cu_1,0.0007207527869050359
Cu_2,0.003268138223874911
Cu_3,0.006262193501579254
Cu_4,0.00918296095825679
Cu_5,0.011883255594631631
Cu_6,0.018271319153078103
Pb_1,0.0040042974938389216
Pb_2,0.012027087302474421
Pb_3,0.019355954817981084
Pb_4,0.025009489872193855
Pb_5,0.03156400582328279
Pb_6,0.03902299083207489
