,ydbC
Cr_1,0.0026288849679819656
Cr_2,0.002730981011770721
Cr_3,0.009427977726773716
Cr_4,0.014931884649595462
Cr_5,0.015437642189720725
Cr_6,0.015956626895426332
Fe_1,-0.015059114667946188
Fe_2,-0.045543707143277434
Fe_3,-0.07075411475642007
Fe_4,-0.0898575781217887
Fe_5,-0.10608253330217084
Fe_6,-0.11610369839325473
Cd_1,0.005265356531086467
Cd_2,0.009708682723405837
Cd_3,0.016260518301372175
Cd_4,0.02227716137181926
Cd_5,0.01941084971855281
Cd_6,0.026349246693910675
Zn_1,-0.0053699189782520865
Zn_2,-0.010867047347757577
Zn_3,-0.010166153747852449
Zn_4,-0.008451307887279972
Zn_5,-0.006986679630015878
Zn_6,-0.007149935060159894
Cu_1,-0.0014551371392389093
Cu_2,-0.0047503275524269145
Cu_3,-0.006380275179882707
Cu_4,-0.007526259791254084
Cu_5,-0.007811685723952623
Cu_6,-0.012827306224901159
Pb_1,0.002691356351310814
Pb_2,0.009809950950452341
Pb_3,0.01417460257634501
Pb_4,0.02165752939408996
Pb_5,0.02296675783186779
Pb_6,0.02424303930415947
