,ycjL
Cr_1,0.002911129866759597
Cr_2,0.0066049194028873865
Cr_3,0.009574285803649059
Cr_4,0.016919997735568626
Cr_5,0.027073001736274544
Cr_6,0.035843513182518265
Fe_1,-0.002459835579754209
Fe_2,-0.013335179027280843
Fe_3,-0.02838741143079648
Fe_4,-0.04955755212053467
Fe_5,-0.06625208193849368
Fe_6,-0.0748394162191803
Cd_1,0.004225627428549403
Cd_2,0.012866721203045548
Cd_3,0.024230135265435077
Cd_4,0.03481048037326987
Cd_5,0.03846883330567325
Cd_6,0.04938040181172404
Zn_1,-0.0018396208609538
Zn_2,-0.003458243792257587
Zn_3,0.002591448235577669
Zn_4,0.01405855981616141
Zn_5,0.025323296222874297
Zn_6,0.033278535997888915
Cu_1,0.014133221836463294
Cu_2,0.03569886163598576
Cu_3,0.05798214331694013
Cu_4,0.07652740590134746
Cu_5,0.0940888865390809
Cu_6,0.1125734516449167
Pb_1,0.011157972937503471
Pb_2,0.03198154017261004
Pb_3,0.058473932159482565
Pb_4,0.08692735899263491
Pb_5,0.116262844076463
Pb_6,0.14427171635936678
