,-0.10730549345211095,-0.07153699563474063,-0.03576849781737031,1.3877787807814457e-17,0.035768497817370334,0.07153699563474065,0.10730549345211098,0.14307399126948128,0.17884248908685163,0.21461098690422198,0.25037948472159227,0.28614798253896256,0.3219164803563329,0.35768497817370326,0.3934534759910735,0.42922197380844385,0.4649904716258142,0.5007589694431845,0.5365274672605549,0.5722959650779251
thresh,-0.0894212445434258,0.0894212445434258,1,,,,,,,,,,,,,,,,,
unreg,2,6,112,5294,123,12,8,2,3,0,1,0,0,0,0,1,0,0,0,0
unreg_genes,['metE' 'PP_2699'],[],[],[],[],[],"['czcC-I' 'PP_5732' 'czcB-I' 'PP_0031' 'csoR' 'PP_0027' 'czcR-II'
 'PP_2878']",['yfeH' 'PP_0025'],['PP_1439' 'PP_0042' 'PP_0028'],[],['opdT-I'],[],[],[],[],['PP_0032'],[],[],[],[]
