,A,OxyR
R2,,0.12250833997512
xmin,,-7.3223905695
xmid,,-0.44318188435417744
xmax,,1.1449694235
ystart,,-0.20911017128930554
yend,,7.6705224034835
control__wt_glc__1,0.2932288547,-0.1081252855
control__wt_glc__2,-0.2932288547,0.1081252855
fur__wt_dpd__1,-0.1048056807,-0.3918510385
fur__wt_dpd__2,-0.2369027143,-0.4480737175
fur__wt_fe__1,-0.12734294300000001,-0.1996109245
fur__wt_fe__2,-0.3456416203,-0.3065217235
fur__delfur_dpd__1,-0.4486747941,-0.3722405595
fur__delfur_dpd__2,-1.0491846349,-0.4208417975
fur__delfur_fe2__1,0.5874953351000001,-0.1370534665
fur__delfur_fe2__2,0.7245359982,-0.1774416935
acid__wt_ph5__1,0.43937180200000003,-0.1679093065
acid__wt_ph5__2,0.2624830244,-0.18165538250000002
acid__delgadx_ph5__2,-0.26864372000000003,-0.3418093025
acid__delgadw_ph5__1,0.3778751185,-0.3140331925
acid__delgadw_ph5__2,0.1427534625,-0.32090364050000003
acid__delgade_ph5__1,0.5680016023000001,-0.14734041550000002
acid__delgade_ph5__2,0.3667249526,-0.12434423750000001
oxidative__wt_pq__1,8.1140243986,0.4065757565
oxidative__wt_pq__2,8.0677070481,0.4663710915
oxidative__deloxyr_pq__1,-1.9510085709,-7.3223905695
oxidative__deloxyr_pq__2,-1.9280824102,-7.2472015085
oxidative__delsoxr_pq__1,7.7265633201,0.4224045575
oxidative__delsoxr_pq__2,7.7090615466,0.3283901675
oxidative__delsoxs_pq__1,7.6283587752,0.5741355695
oxidative__delsoxs_pq__2,7.8905989311999996,0.5985670835
nac_ntrc__wt_csn__1,0.5980773086,-0.4189141985
nac_ntrc__wt_csn__2,-0.053291837800000005,-0.3099967165
nac_ntrc__wt_cytd__1,0.1508154829,-0.20551874650000002
nac_ntrc__wt_cytd__2,0.46014360190000003,-0.2493221025
nac_ntrc__wt_gln__1,0.9115471048,-0.2058091705
nac_ntrc__wt_gln__2,0.9410026211,-0.1138715545
nac_ntrc__bw_delnac_csn__1,0.8977578175,-0.5718306155
nac_ntrc__bw_delnac_csn__2,1.1542014007999999,-0.1799272375
nac_ntrc__bw_delnac_cytd__1,0.2555259073,-0.1563031785
nac_ntrc__bw_delnac_cytd__2,0.0488152667,-0.1675225945
nac_ntrc__bw_delnac_gln__1,0.0017814135,-0.1807452805
nac_ntrc__bw_delnac_gln__2,0.3011490083,-0.33312143250000004
nac_ntrc__bw_delnac_nh4__1,-0.0031507789000000002,-0.1993380355
nac_ntrc__bw_delnac_nh4__2,-0.1890388714,-0.1702346615
misc__wt_no_te__1,0.3673452692,-0.1135025685
misc__wt_no_te__2,0.0943170994,-0.1290555645
misc__bw_delcbl__1,-0.4203691399,-0.2321644455
misc__bw_delcbl__2,-0.336172081,-0.1655780705
misc__bw_delfabr__1,-0.14779147980000001,-0.1458814505
misc__bw_delfabr__2,-0.5441935867000001,-0.16644321450000002
misc__bw_delfadr__1,-0.0533939435,-0.08309116350000001
misc__bw_delfadr__2,-0.015353693500000001,0.022310990500000003
misc__nitr_031__1,0.0987454187,-0.3045469085
omics__wt_glu__1,-0.4192742182,-0.5431214025000001
omics__wt_glu__2,-0.3932013562,-0.4748256745
omics__wt_gly__1,-1.2490821902,-0.2586389655
omics__wt_gly__2,-1.0776618958,-0.2489694985
omics__wt_thr__1,-0.9409387084,-0.24507301550000002
omics__wt_thr__2,-0.8729600200000001,-0.33987982850000004
