,-0.0784285444,-0.03921427219999999,1.3877787807814457e-17,0.03921427220000001,0.07842854440000002,0.11764281660000003,0.15685708880000002,0.19607136100000003,0.23528563320000004,0.2744999054,0.3137141776000001,0.35292844980000004,0.392142722,0.43135699420000007,0.4705712664,0.5097855386000001,0.5489998108,0.588214083,0.6274283552000001,0.6666426274
thresh,-0.0588214083,0.0588214083,2,,,,,,,,,,,,,,,,,
unreg,3,48,4059,56,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OxyR,1,4,17,9,0,2,0,0,4,1,1,0,0,0,1,0,0,0,0,0
unreg_genes,['mdtK' 'yobF' 'hdhA'],[],[],[],['treF' 'clpS' 'glpE' 'yaaA'],['yijE'],[],[],[],[],[],[],[],[],[],[],[],[],[],[]
OxyR_genes,['fhuF'],['ybjC' 'nfsA' 'metE' 'rimK'],"['znuC' 'yjjZ' 'ychF' 'dsbG' 'znuB' 'elaB' 'ybjN' 'gntP' 'hcr' 'poxB'
 'hcp' 'metR' 'zinT' 'uxuA' 'uxuB' 'znuA' 'flu']",['sufE' 'mntH' 'sufS' 'fur' 'sufD' 'sufC' 'gor' 'sufB' 'sufA'],[],['hemH' 'oxyR'],[],[],['dps' 'trxC' 'katG' 'ccp'],['ahpC'],['ahpF'],[],[],[],['grxA'],[],[],[],[],[]
