,treF
Cr_1,0.0038560121410617827
Cr_2,0.007705635692601956
Cr_3,-0.002123955333458605
Cr_4,-0.014909704912648347
Cr_5,-0.014706101889919719
Cr_6,-0.012332230271237915
Fe_1,-0.024809269352063467
Fe_2,-0.06482941428243652
Fe_3,-0.10952963971122663
Fe_4,-0.1499722548830203
Fe_5,-0.17689287519576172
Fe_6,-0.1978040089427432
Cd_1,0.0003939580491021573
Cd_2,0.00328004173948904
Cd_3,0.0026087097310435784
Cd_4,0.0019257878066812647
Cd_5,-0.007939463019572846
Cd_6,0.005072671080976433
Zn_1,0.01371580140515586
Zn_2,0.08120582072876505
Zn_3,0.19663128894213236
Zn_4,0.31416645222848266
Zn_5,0.4618141288288445
Zn_6,0.5984753596089577
Cu_1,0.00557524211685948
Cu_2,0.01530375855733964
Cu_3,0.012251964252649765
Cu_4,0.01835841101400308
Cu_5,0.01899581485736409
Cu_6,0.023270609064034532
Pb_1,0.0041314759700849905
Pb_2,0.004059446031955515
Pb_3,0.01609670085704354
Pb_4,0.030122347136098907
Pb_5,0.036108267954963164
Pb_6,0.04363884334565545
