,yeaX
Cr_1,-0.0021114432437598614
Cr_2,-0.011999411211041923
Cr_3,-0.012578752963282815
Cr_4,-0.004130325542574995
Cr_5,0.03110754684627192
Cr_6,0.02484525325021028
Fe_1,-0.09738045081401656
Fe_2,-0.1415589510254442
Fe_3,-0.1758314392944657
Fe_4,-0.1932164707523196
Fe_5,-0.15584022887940016
Fe_6,-0.0913419669751821
Cd_1,0.00797972923876639
Cd_2,0.01112035346088324
Cd_3,0.017192100259948617
Cd_4,0.024043535715600757
Cd_5,0.020641327285291056
Cd_6,0.02078546997335794
Zn_1,0.03195939811597979
Zn_2,0.08562486071876334
Zn_3,0.09152819983753294
Zn_4,0.09095559527553984
Zn_5,0.09390986840656204
Zn_6,0.09705292230612003
Cu_1,0.0036954321209498185
Cu_2,0.00048256431021088605
Cu_3,0.002570352444640328
Cu_4,0.008247276043620109
Cu_5,0.008756805047680375
Cu_6,0.00811090732269606
Pb_1,0.007411659506987874
Pb_2,0.004974845586221425
Pb_3,0.013338977808639949
Pb_4,0.01607357915944036
Pb_5,0.014539947757643596
Pb_6,0.016062494088624656
