,rluC
Cr_1,7.099709851026132e-05
Cr_2,-0.006079618977875015
Cr_3,-0.005912712006552875
Cr_4,-0.0018126908351789454
Cr_5,-0.007695332299345969
Cr_6,-0.045033269351044375
Fe_1,-0.03031448859541188
Fe_2,-0.04003274362429583
Fe_3,-0.02442428420593927
Fe_4,-0.004889484012217671
Fe_5,0.009204524585004151
Fe_6,0.022181088279880547
Cd_1,0.0030918263415309765
Cd_2,0.011832801235282523
Cd_3,0.019951938450613074
Cd_4,0.027899518126574426
Cd_5,0.031668170920037784
Cd_6,0.03848968248411295
Zn_1,-0.007743524504616933
Zn_2,-0.0160417233488661
Zn_3,-0.016841233034942345
Zn_4,-0.011021749072986572
Zn_5,-0.003909733776636326
Zn_6,0.008896841930584955
Cu_1,0.003163935535917949
Cu_2,0.001403366699905294
Cu_3,-0.00027447544918904267
Cu_4,-0.0015129326747352705
Cu_5,0.0029706166583108318
Cu_6,0.0044271391084296655
Pb_1,-0.008347342076873841
Pb_2,-0.008568885125546623
Pb_3,-0.007804422546433956
Pb_4,-0.004282125603784718
Pb_5,0.0007767975313856276
Pb_6,0.008290257763550697
