,-0.4571428571428572,-0.4,-0.34285714285714286,-0.2857142857142857,-0.22857142857142854,-0.17142857142857137,-0.11428571428571421,-0.05714285714285705,1.1102230246251565e-16,0.05714285714285727,0.11428571428571443,0.1714285714285716,0.22857142857142876,0.2857142857142859,0.3428571428571431,0.40000000000000024,0.4571428571428574,0.5142857142857146,0.5714285714285717,0.6285714285714289
thresh,-0.2,0.2,1,,,,,,,,,,,,,,,,,
unreg,1,0,0,0,0,0,0,58,3794,39,2,0,0,0,0,0,1,0,0,0
unreg_genes,['ABUW_3260'],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['ABUW_3261'],[],[],[]
